Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.252s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	1.73	1.55	0.00	2.00	1.55	0.00	1.55
6.00	1.99	1.93	1.77	2.00	1.97	0.00	1.98
7.00	1.99	1.88	1.99	2.00	2.00	1.66	1.98
8.00	2.00	1.93	2.00	1.99	2.00	1.87	2.00
9.00	2.00	1.92	2.00	2.00	2.00	1.88	2.00
10.00	2.00	1.86	2.00	2.00	1.99	1.84	2.00
11.00	1.98	1.91	2.00	2.00	2.00	1.90	1.99
12.00	2.00	1.91	2.00	2.00	1.98	1.90	2.00
13.00	1.98	1.93	1.99	2.00	2.00	1.98	1.99
14.00	2.00	1.88	2.00	1.99	1.99	1.94	2.00
15.00	2.00	1.90	2.00	2.00	2.00	1.94	2.00
16.00	2.00	1.91	2.00	2.00	2.00	1.91	1.99
17.00	1.99	1.91	2.00	2.00	2.00	1.90	1.99
18.00	2.00	1.90	2.00	2.00	2.00	1.86	2.00
19.00	1.99	1.90	2.00	2.00	1.98	1.91	1.99
20.00	2.00	1.85	1.99	1.99	1.99	1.91	2.00
21.00	1.99	1.93	2.00	2.00	2.00	1.91	1.98
22.00	2.00	1.86	2.00	2.00	2.00	1.88	2.00
23.00	1.98	1.88	2.00	2.00	2.00	1.91	1.97
24.00	2.00	1.88	2.00	2.00	2.00	1.85	2.00
25.00	1.98	1.97	2.00	2.00	1.98	1.92	1.98
26.00	1.99	1.92	1.99	1.99	2.00	1.97	2.00
27.00	1.99	1.91	2.00	2.00	2.00	1.93	1.99
28.00	2.00	1.85	2.00	2.00	1.99	1.91	2.00
29.00	1.99	1.85	2.00	2.00	2.00	1.92	1.99
30.00	2.00	1.87	2.00	2.00	1.99	1.88	1.99
31.00	1.98	1.92	2.00	2.00	1.98	1.93	1.99
32.00	2.00	1.87	1.99	1.99	2.00	1.92	2.00
33.00	1.99	1.88	2.00	2.00	2.00	1.91	2.00
34.00	2.00	1.92	2.00	2.00	2.00	1.84	2.00
35.00	1.99	1.88	2.00	2.00	2.00	1.94	2.00
36.00	2.00	1.94	2.00	2.00	2.00	1.92	1.97
37.00	1.98	1.90	2.00	2.00	2.00	1.88	2.00
