Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.221s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
5.00	0.77	1.02	0.78	0.00	2.00	0.00	0.77	0.75	0.74
6.00	1.98	2.00	1.98	1.01	2.00	1.01	1.98	1.99	2.00
7.00	1.99	1.99	2.00	1.99	2.00	1.99	2.00	2.00	2.00
8.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00
9.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
10.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
11.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99
12.00	2.01	2.00	1.99	1.99	2.00	1.99	2.00	2.00	2.00
13.00	1.98	1.99	2.00	2.00	2.00	2.00	1.99	2.00	2.00
14.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00
15.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
16.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
17.00	1.99	2.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00
18.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	1.99	2.00
19.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00	1.99
20.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
21.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99
23.00	1.99	2.00	2.00	2.00	2.00	1.99	2.00	1.99	2.01
24.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00	1.99
25.00	2.00	2.00	1.98	2.00	2.00	2.00	1.99	2.00	2.00
26.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
27.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
28.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
29.00	1.99	2.00	2.00	2.00	2.00	1.99	2.00	2.00	1.99
30.00	2.01	2.00	1.99	1.99	2.00	2.00	2.00	2.00	1.99
31.00	1.99	2.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00
32.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
33.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
34.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
35.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00
36.00	1.98	2.00	1.98	1.99	2.00	2.00	2.00	2.00	1.99
37.00	1.99	2.00	1.99	2.01	2.00	1.99	1.99	1.99	2.00
38.00	2.00	1.99	2.00	1.99	1.99	2.00	2.00	2.00	2.00
39.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
41.00	2.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00	2.00
42.00	1.99	2.00	2.00	2.00	2.00	1.99	2.00	2.00	1.99
43.00	2.00	2.00	1.99	1.99	2.00	2.01	2.00	1.99	2.00
44.00	2.00	1.99	2.00	2.00	1.99	1.99	2.00	2.00	2.00
