Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.257s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.19	0.00	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	0.81	0.78	0.82	2.00	1.01	0.00	0.00
6.00	1.98	1.85	2.00	2.00	2.00	0.99	1.02
7.00	2.00	1.88	1.99	2.00	1.99	1.93	1.99
8.00	2.00	1.87	2.00	1.99	1.98	1.86	2.00
9.00	2.00	1.88	2.00	2.00	2.00	1.90	1.99
10.00	2.00	1.92	2.00	2.00	2.00	1.91	1.99
11.00	1.98	1.86	2.00	2.00	2.00	1.90	2.00
12.00	2.00	1.90	2.00	2.00	1.99	1.93	2.00
13.00	1.99	1.88	1.99	2.00	2.00	1.88	1.99
14.00	2.00	1.87	2.00	1.99	2.00	1.93	2.00
15.00	1.99	1.90	2.00	2.00	1.99	1.94	1.99
16.00	2.00	1.88	2.00	2.00	1.98	1.93	1.99
17.00	1.99	1.86	2.00	2.00	1.99	1.88	1.98
18.00	2.00	1.94	2.00	2.00	1.99	1.88	2.00
19.00	2.00	1.86	2.00	2.00	1.99	1.92	1.98
20.00	2.00	1.90	1.99	1.99	2.00	1.91	2.00
21.00	1.99	1.92	2.00	2.00	2.00	1.91	1.99
22.00	2.00	1.93	2.00	2.00	2.00	1.94	2.00
23.00	1.98	1.86	2.00	2.00	2.00	1.93	1.97
24.00	2.00	1.90	2.00	2.00	1.99	1.93	1.99
25.00	2.00	1.91	2.00	2.00	1.99	1.91	1.99
26.00	2.00	1.92	1.99	1.99	2.00	1.88	2.00
27.00	2.00	1.90	2.00	2.00	1.99	1.93	2.00
28.00	2.00	1.95	2.00	2.00	2.00	1.90	2.00
29.00	2.00	1.91	2.00	2.00	2.00	1.87	1.98
30.00	1.99	1.87	2.00	2.00	2.00	1.88	2.00
31.00	1.98	1.88	2.00	2.00	1.99	1.91	2.00
32.00	2.00	1.93	1.99	1.99	2.00	1.91	2.00
33.00	1.98	1.90	2.00	2.00	2.00	1.90	2.00
34.00	2.00	1.90	2.00	2.00	1.99	1.91	2.00
35.00	1.97	1.90	2.00	2.00	1.99	1.91	1.95
36.00	2.00	1.90	2.00	2.00	1.99	1.92	2.00
37.00	2.00	1.91	2.00	2.00	1.99	1.94	1.99
38.00	2.00	1.90	1.99	1.99	2.00	1.91	2.00
39.00	2.00	1.94	2.00	2.00	2.00	1.92	2.00
40.00	2.00	1.91	2.00	2.00	2.00	1.90	2.00
41.00	1.97	1.90	2.00	2.00	1.98	1.91	2.00
42.00	2.00	1.94	2.00	2.00	2.00	1.91	1.99
43.00	2.00	1.90	2.00	2.00	2.00	1.98	1.99
44.00	2.00	1.85	1.99	1.99	1.99	1.92	2.00
45.00	2.00	1.91	2.00	2.00	2.00	1.91	2.00
46.00	1.99	1.90	2.00	2.00	2.00	1.95	1.99
47.00	1.98	1.97	1.99	2.00	1.99	1.95	2.00
48.00	0.93	0.93	0.93	2.00	2.00	1.95	1.99
49.00	0.00	0.00	0.00	2.00	2.00	1.94	2.00
50.00	0.00	0.00	0.00	2.00	1.99	1.93	2.00
51.00	0.00	0.00	0.00	1.99	2.00	1.95	2.00
52.00	0.00	0.00	0.00	2.00	2.00	1.95	2.00
53.00	0.00	0.00	0.00	2.00	2.00	1.95	2.00
54.00	0.00	0.00	0.00	2.00	2.00	1.94	2.00
55.00	0.00	0.00	0.00	2.00	2.00	1.95	1.99
56.00	0.00	0.00	0.00	2.00	1.99	1.97	2.00
57.00	0.00	0.00	0.00	1.99	2.00	1.94	2.00
58.00	0.00	0.00	0.00	2.00	2.00	1.95	2.00
59.00	0.00	0.00	0.00	2.00	2.00	1.93	2.00
60.00	0.00	0.00	0.00	2.00	2.00	1.97	1.99
61.00	0.00	0.00	0.00	2.00	2.00	1.93	2.00
62.00	0.00	0.00	0.00	2.00	2.00	1.97	2.00
63.00	0.00	0.00	0.00	1.99	1.99	1.94	2.00
64.00	0.00	0.00	0.00	2.00	2.00	1.97	2.00
65.00	0.00	0.00	0.00	2.00	2.00	1.93	1.99
66.00	0.00	0.00	0.00	2.00	2.00	1.95	2.00
67.00	0.00	0.00	0.00	2.00	2.00	1.95	1.98
68.00	0.00	0.00	0.00	2.00	1.99	1.92	2.00
69.00	0.00	0.00	0.00	1.99	2.00	1.97	1.99
70.00	0.00	0.00	0.00	2.00	2.00	1.94	2.00
71.00	0.00	0.00	0.00	2.00	2.00	1.97	2.00
72.00	0.00	0.00	0.00	2.00	2.00	1.94	2.00
73.00	0.00	0.00	0.00	2.00	2.00	1.97	1.98
74.00	0.00	0.00	0.00	2.00	2.00	1.94	2.00
75.00	0.00	0.00	0.00	1.99	1.99	1.98	1.99
76.00	0.00	0.00	0.00	2.00	2.00	1.92	2.00
77.00	0.00	0.00	0.00	2.00	0.91	0.89	0.91
78.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
79.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
80.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
81.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
82.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
83.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
84.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
85.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
86.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
87.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
88.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
89.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
90.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
91.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
92.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
94.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
95.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
96.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
97.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
98.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
99.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
100.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
101.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
102.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
103.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
104.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
105.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
106.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
107.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
108.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
109.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
110.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
111.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
112.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
113.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
114.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
115.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
116.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
117.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
118.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
119.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
120.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
121.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
122.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
123.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
124.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
125.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
126.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
127.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
