Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.366s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	0.00	0.00	1.99	1.97	1.98
3.00	1.98	2.01	2.00	1.95	2.00
4.00	2.00	2.00	2.00	2.00	1.99
5.00	1.99	2.00	2.00	1.95	2.00
6.00	2.00	2.00	2.00	1.95	1.99
7.00	2.00	1.99	2.00	1.99	2.00
8.00	2.00	2.00	1.99	1.98	1.99
9.00	2.00	2.00	2.00	1.99	2.00
10.00	2.00	2.00	2.00	2.00	2.00
11.00	2.00	2.00	2.00	1.98	1.99
12.00	1.99	2.00	2.00	2.01	2.00
13.00	2.00	1.99	2.00	1.98	2.00
14.00	1.99	2.00	1.99	2.00	2.00
15.00	2.00	2.00	2.00	1.98	2.00
16.00	2.00	2.00	2.00	1.98	1.99
17.00	2.00	2.00	2.00	1.98	2.00
18.00	1.99	2.00	2.00	1.97	1.99
19.00	2.00	2.00	2.00	1.98	2.00
20.00	2.00	1.99	1.99	1.99	2.00
21.00	2.00	2.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00	2.00	2.00
23.00	1.99	2.00	2.00	1.99	2.00
24.00	2.00	2.00	2.00	1.98	1.99
25.00	1.99	2.00	2.00	1.95	2.00
26.00	2.00	1.99	1.99	1.97	2.00
27.00	2.00	2.00	2.00	1.95	2.00
28.00	2.00	2.00	2.00	1.99	2.00
29.00	2.00	2.00	2.00	1.98	2.00
30.00	1.99	2.00	2.00	1.99	1.99
31.00	2.00	2.00	2.00	1.95	1.99
32.00	2.00	1.99	1.99	2.00	2.00
33.00	2.00	2.00	2.00	1.98	2.00
34.00	2.00	2.00	2.00	2.00	2.00
35.00	2.00	2.00	2.00	1.95	2.00
36.00	1.99	2.00	2.00	1.99	1.99
37.00	2.00	2.00	2.00	1.99	2.00
38.00	2.00	1.99	1.99	1.99	2.00
39.00	2.00	2.00	2.00	1.99	2.00
40.00	2.00	2.00	2.00	2.00	2.00
41.00	2.00	2.00	2.00	2.00	2.00
42.00	2.00	2.00	2.00	1.98	1.99
43.00	1.99	2.00	2.00	1.98	2.00
44.00	2.00	1.99	1.99	1.98	2.00
45.00	2.00	2.00	2.00	1.99	2.00
46.00	2.00	2.00	2.00	1.99	2.00
47.00	2.00	2.00	2.00	2.00	2.00
48.00	1.99	2.00	2.00	1.98	2.00
49.00	2.00	2.00	2.00	1.99	1.99
50.00	2.00	1.99	2.00	1.97	2.00
51.00	2.00	2.00	1.99	1.98	2.00
52.00	2.00	2.00	2.00	2.00	2.00
53.00	2.00	2.00	2.00	1.98	1.98
54.00	2.00	2.00	2.00	2.00	1.99
55.00	1.99	2.00	2.00	1.99	2.00
56.00	2.00	1.99	2.00	1.95	1.99
57.00	2.00	2.00	1.99	1.99	2.00
58.00	2.00	2.00	2.00	1.99	2.00
59.00	2.00	2.00	2.00	2.00	1.99
60.00	2.00	2.00	2.00	1.98	2.00
61.00	1.99	2.00	2.00	2.00	1.99
62.00	2.00	2.00	2.00	1.97	2.00
63.00	2.00	1.99	1.99	2.00	2.00
64.00	2.00	2.00	2.00	1.98	2.00
65.00	2.00	2.00	2.00	1.99	1.99
66.00	2.00	2.00	2.00	1.98	2.00
67.00	1.99	2.00	2.00	2.00	1.99
68.00	0.04	0.02	2.00	2.00	2.00
69.00	0.00	0.00	1.99	1.99	2.00
70.00	0.00	0.00	2.00	2.00	2.00
71.00	0.00	0.00	2.00	0.02	0.02
72.00	0.00	0.00	2.00	0.00	0.00
73.00	0.00	0.00	2.00	0.00	0.00
74.00	0.00	0.00	2.00	0.00	0.00
75.00	0.00	0.00	1.99	0.00	0.00
76.00	0.00	0.00	2.00	0.00	0.00
77.00	0.00	0.00	2.00	0.00	0.00
78.00	0.00	0.00	2.00	0.00	0.00
79.00	0.00	0.00	2.00	0.00	0.00
80.00	0.00	0.00	2.00	0.00	0.00
81.00	0.00	0.00	1.99	0.00	0.00
82.00	0.00	0.00	2.00	0.00	0.00
83.00	0.00	0.00	2.00	0.00	0.00
84.00	0.00	0.00	2.00	0.00	0.00
85.00	0.00	0.00	2.00	0.00	0.00
86.00	0.00	0.00	2.00	0.00	0.00
87.00	0.00	0.00	1.99	0.00	0.00
88.00	0.00	0.00	2.00	0.00	0.00
89.00	0.00	0.00	2.00	0.00	0.00
90.00	0.00	0.00	2.00	0.00	0.00
91.00	0.00	0.00	2.00	0.00	0.00
92.00	0.00	0.00	2.00	0.00	0.00
93.00	0.00	0.00	1.99	0.00	0.00
94.00	0.00	0.00	2.00	0.00	0.00
95.00	0.00	0.00	2.00	0.00	0.00
96.00	0.00	0.00	2.00	0.00	0.00
97.00	0.00	0.00	2.00	0.00	0.00
98.00	0.00	0.00	2.00	0.00	0.00
99.00	0.00	0.00	2.00	0.00	0.00
100.00	0.00	0.00	1.99	0.00	0.00
101.00	0.00	0.00	2.00	0.00	0.00
102.00	2.54	2.54	2.00	0.77	0.15
103.00	2.00	2.00	2.00	1.84	0.99
104.00	2.00	2.00	2.00	1.99	1.75
105.00	1.99	2.00	2.00	1.84	2.00
106.00	2.00	1.99	1.99	1.88	2.00
107.00	2.00	2.00	2.00	1.94	2.00
108.00	2.00	2.00	2.00	2.00	2.00
109.00	2.00	2.00	2.00	1.99	2.00
110.00	1.99	2.00	2.00	1.99	1.99
111.00	2.00	2.00	2.00	1.98	2.00
112.00	2.00	1.99	1.99	2.00	2.00
113.00	2.00	2.00	2.00	1.98	2.00
114.00	2.00	2.00	2.00	1.99	2.00
115.00	2.00	2.00	2.00	1.98	2.00
116.00	1.99	2.00	2.00	1.98	1.98
117.00	2.00	2.00	2.00	1.98	2.00
118.00	2.00	1.99	1.99	1.98	2.00
119.00	2.00	2.00	2.00	1.99	2.00
120.00	2.00	2.00	2.00	1.99	2.00
121.00	2.00	2.00	2.00	1.99	2.00
122.00	2.00	2.00	2.00	1.97	1.99
123.00	1.99	2.00	2.00	2.00	2.00
124.00	2.00	1.99	1.99	1.98	2.00
125.00	2.00	2.00	2.00	1.99	2.00
126.00	2.00	2.00	2.00	1.97	2.00
127.00	2.00	2.00	2.00	1.98	2.00
128.00	1.99	2.00	2.00	2.00	2.00
129.00	2.00	2.00	2.00	1.97	1.99
130.00	2.00	1.99	1.99	1.99	2.00
131.00	2.00	2.00	2.00	1.99	1.99
132.00	2.00	2.00	2.00	1.99	2.00
133.00	2.00	2.00	2.00	1.98	1.99
134.00	2.00	2.00	2.00	1.99	1.97
135.00	1.99	2.00	2.00	1.98	2.00
136.00	2.00	1.99	1.99	2.00	2.00
137.00	2.00	2.00	2.00	2.00	2.00
138.00	2.00	2.00	2.00	1.97	2.00
139.00	2.00	2.00	2.00	1.98	2.00
140.00	2.00	2.00	2.00	2.00	1.99
141.00	1.99	2.00	2.00	1.98	2.00
142.00	2.00	1.99	2.00	1.97	2.00
143.00	2.00	2.00	1.99	1.98	1.99
144.00	2.00	2.00	2.00	1.98	2.00
145.00	2.00	2.00	2.00	2.00	1.99
146.00	1.99	2.00	2.00	1.95	2.00
147.00	2.00	2.00	2.00	1.97	1.99
148.00	2.00	1.99	2.00	2.00	2.00
149.00	2.00	2.00	1.99	1.98	2.00
150.00	2.00	2.00	2.00	2.00	2.00
151.00	2.00	2.00	2.00	2.00	2.00
152.00	2.00	2.00	2.00	1.98	1.99
153.00	1.99	2.00	2.00	1.98	1.99
154.00	2.00	2.00	2.00	1.97	2.00
155.00	2.00	1.99	1.99	1.98	2.00
156.00	2.00	2.00	2.00	1.98	2.00
157.00	2.00	2.00	2.00	2.00	2.00
158.00	2.00	2.00	2.00	1.98	1.98
159.00	1.99	2.00	2.00	1.98	1.99
160.00	2.00	2.00	2.00	1.99	2.00
161.00	2.00	1.99	1.99	1.99	1.99
162.00	2.00	2.00	2.00	1.99	2.00
163.00	2.00	2.00	2.00	1.97	2.00
164.00	2.00	2.00	2.00	1.99	2.00
165.00	1.99	2.00	2.00	1.99	1.99
166.00	2.00	2.00	2.00	1.97	2.00
167.00	2.00	1.99	1.99	1.99	1.99
168.00	2.00	2.00	2.00	2.00	2.00
169.00	2.00	2.00	2.00	2.00	2.00
170.00	2.00	2.00	2.00	1.99	2.00
171.00	1.99	2.00	2.00	2.00	2.00
172.00	2.00	2.00	2.00	1.99	1.99
