Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.429s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.60	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	1.13	0.88	0.00	0.00	2.00	0.00	0.00	0.00
6.00	2.00	1.99	0.00	0.00	2.00	1.18	0.00	1.14
7.00	1.99	2.00	0.00	0.00	2.00	1.99	1.17	2.00
8.00	2.00	2.00	1.11	1.15	1.99	2.00	2.00	2.00
9.00	2.00	2.00	1.95	2.00	2.00	2.00	2.00	1.99
10.00	2.00	2.00	1.97	1.99	2.00	2.00	2.00	2.00
11.00	2.00	1.99	1.99	1.98	2.00	2.00	2.00	2.00
12.00	2.00	2.01	1.97	2.00	2.00	1.99	1.99	2.00
13.00	1.99	1.99	1.97	2.00	2.00	2.00	2.00	2.00
14.00	2.00	2.00	1.94	2.00	1.99	2.00	2.00	1.99
15.00	2.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00
16.00	2.00	2.00	1.95	1.99	2.00	2.00	2.01	1.99
17.00	0.71	1.95	0.72	0.73	2.00	0.71	0.71	0.72
18.00	0.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
19.00	1.07	2.00	1.04	1.07	2.00	1.06	1.11	1.10
20.00	2.00	2.04	1.95	2.00	1.99	2.00	2.00	2.00
21.00	2.01	2.00	1.97	2.00	2.00	2.00	2.01	1.99
22.00	2.00	2.00	1.95	1.99	2.00	2.00	2.00	2.00
23.00	2.00	1.99	1.95	2.00	2.00	2.00	1.99	2.00
24.00	2.00	1.99	1.98	2.00	2.00	1.99	2.00	2.00
25.00	2.00	2.00	1.97	2.00	2.00	2.00	2.00	2.00
26.00	1.99	2.00	1.94	0.65	1.99	2.00	2.00	2.00
27.00	2.00	2.00	1.94	0.00	2.00	2.00	2.00	2.00
28.00	2.00	2.00	1.92	0.00	2.00	2.00	2.00	1.99
29.00	2.00	2.00	1.93	0.00	2.00	2.00	1.99	2.00
30.00	2.00	1.99	1.91	0.00	2.00	2.00	2.00	2.00
31.00	2.00	2.00	1.97	0.00	2.00	1.99	2.00	2.00
32.00	1.99	2.00	1.88	0.00	1.99	2.00	2.00	2.00
33.00	2.00	2.00	1.91	0.00	2.00	2.00	2.00	2.00
34.00	2.00	2.00	1.92	0.00	2.00	2.00	2.00	1.99
35.00	2.00	2.00	1.93	0.00	2.00	2.00	2.00	2.00
36.00	2.00	2.00	1.90	0.00	2.00	2.00	1.99	2.00
37.00	2.00	1.99	1.97	0.00	2.00	2.00	2.00	2.00
38.00	1.99	2.00	1.92	0.00	1.99	1.99	2.00	2.00
39.00	2.00	2.00	1.92	0.00	2.00	2.00	2.00	2.00
40.00	2.00	2.00	1.94	0.00	2.00	2.00	1.99	2.00
41.00	2.00	2.00	1.94	0.00	2.00	2.00	2.00	1.99
42.00	2.00	2.00	1.92	0.00	2.00	1.99	2.00	2.00
43.00	2.00	1.99	1.91	0.00	2.00	2.01	2.00	2.00
44.00	1.99	2.00	1.94	0.00	1.99	1.99	2.00	2.00
45.00	2.00	2.00	1.95	0.00	2.00	2.00	2.00	2.00
46.00	2.00	2.00	1.92	0.00	2.00	2.00	2.00	2.00
47.00	2.00	2.00	1.93	0.00	2.00	2.00	2.00	1.99
48.00	2.00	1.99	1.94	0.00	2.00	2.00	1.99	2.00
49.00	2.00	2.01	1.92	0.00	2.00	1.99	2.00	2.00
50.00	1.99	1.99	1.94	0.00	2.00	2.00	2.00	2.00
51.00	2.00	2.00	1.91	0.00	1.99	2.00	2.00	2.00
52.00	2.00	2.00	1.93	0.00	2.00	2.00	2.00	2.00
53.00	2.00	2.00	1.87	0.00	2.00	2.00	2.00	1.99
54.00	2.00	2.00	1.97	0.00	2.00	2.00	1.99	2.00
55.00	2.00	1.98	1.88	0.00	2.00	2.00	2.00	2.00
56.00	2.00	2.00	1.95	0.00	2.00	1.99	2.00	2.00
57.00	1.99	2.00	1.92	0.00	1.99	2.00	2.00	2.00
58.00	2.00	2.00	1.98	0.00	2.00	2.00	2.00	2.00
