Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.317s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.92	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00
5.00	0.00	1.30	1.31	2.00	1.40	1.31
6.00	1.51	1.91	2.00	2.00	1.95	1.98
7.00	2.00	1.94	1.99	2.00	2.00	2.00
8.00	2.00	1.87	2.00	1.99	2.00	2.00
9.00	1.99	1.86	2.00	2.00	2.00	2.00
10.00	2.00	1.86	2.00	2.00	1.99	2.00
11.00	2.00	1.88	2.00	2.00	1.99	1.99
12.00	1.99	1.84	2.00	2.00	1.99	2.00
13.00	1.99	1.88	1.99	2.00	1.99	2.00
14.00	2.00	1.88	2.00	1.99	1.99	2.00
15.00	2.00	1.85	2.00	2.00	1.99	2.00
16.00	1.99	1.86	2.00	2.00	1.98	1.99
17.00	1.99	1.86	2.00	2.00	1.99	2.00
18.00	2.00	1.86	2.00	2.00	1.99	1.99
19.00	2.00	1.85	2.00	2.00	1.98	1.99
20.00	2.00	1.84	1.99	1.99	1.98	2.00
21.00	1.99	1.84	2.00	2.00	2.00	2.00
22.00	2.00	1.87	2.00	2.00	1.99	2.00
23.00	1.98	1.88	2.00	2.00	1.99	2.00
24.00	2.00	1.85	2.00	2.00	1.97	1.99
25.00	1.99	1.86	2.00	2.00	1.99	2.00
26.00	1.97	1.94	1.99	1.99	2.00	2.00
27.00	1.99	1.83	2.00	2.00	2.00	2.00
28.00	2.00	1.88	2.00	2.00	1.99	2.00
29.00	2.00	1.91	2.00	2.00	1.99	1.99
30.00	1.99	1.81	2.00	2.00	1.99	1.99
31.00	1.98	1.87	2.00	2.00	1.99	2.00
32.00	2.00	1.87	1.99	1.99	1.99	2.00
33.00	1.99	1.93	2.00	2.00	1.99	2.00
34.00	2.00	1.85	2.00	2.00	1.99	2.00
35.00	2.00	1.86	2.00	2.00	1.98	1.98
36.00	1.99	1.86	2.00	2.00	2.00	1.97
37.00	1.99	1.88	2.00	2.00	2.00	1.99
38.00	2.00	1.86	1.99	1.99	1.99	2.00
39.00	2.00	1.90	2.00	2.00	1.99	1.99
40.00	2.00	1.90	2.00	2.00	1.99	2.00
41.00	1.99	1.91	2.00	2.00	1.99	2.00
42.00	1.99	1.87	2.00	2.00	1.98	2.00
43.00	1.98	1.88	2.00	2.00	2.00	1.97
44.00	2.00	1.88	1.99	1.99	1.97	2.00
45.00	2.00	1.88	2.00	2.00	2.00	2.00
46.00	1.99	1.86	2.00	2.00	1.99	2.00
47.00	2.00	1.95	2.00	2.00	1.99	2.00
48.00	2.00	1.87	2.00	2.00	1.99	1.99
49.00	1.98	1.88	2.00	2.00	1.99	2.00
50.00	2.00	1.87	1.99	2.00	1.99	2.00
51.00	2.00	1.88	2.00	1.99	2.00	2.00
52.00	2.00	1.84	2.00	2.00	2.00	2.00
53.00	2.00	1.87	2.00	2.00	2.00	1.99
54.00	1.99	1.84	2.00	2.00	1.99	1.99
55.00	2.00	1.90	2.00	2.00	2.00	2.00
56.00	1.99	1.90	1.99	2.00	1.99	2.00
57.00	2.00	1.90	2.00	1.99	1.99	2.00
58.00	2.00	1.91	2.00	2.00	1.99	2.00
59.00	1.99	1.88	2.00	2.00	2.00	2.00
60.00	1.99	1.86	2.00	2.00	1.99	2.00
61.00	2.00	1.90	2.00	2.00	2.00	1.98
62.00	2.00	1.87	2.00	2.00	1.99	2.00
63.00	1.99	1.90	1.99	1.99	1.99	2.00
64.00	2.00	1.90	2.00	2.00	1.99	2.00
65.00	1.99	1.92	2.00	2.00	1.98	2.00
66.00	1.99	1.93	2.00	2.00	2.00	2.00
67.00	1.99	1.86	2.00	2.00	2.00	1.99
68.00	2.00	1.91	2.00	2.00	1.98	2.00
69.00	2.00	1.88	1.99	1.99	2.00	2.00
70.00	2.00	1.87	2.00	2.00	2.00	2.00
71.00	1.98	1.95	2.00	2.00	1.99	2.00
72.00	2.00	1.91	2.00	2.00	1.99	1.99
73.00	1.99	1.88	2.00	2.00	1.99	2.00
74.00	2.00	1.84	2.00	2.00	1.98	1.99
75.00	2.00	1.97	1.99	1.99	2.00	1.99
76.00	2.00	1.94	2.00	2.00	1.99	1.99
77.00	2.00	1.91	2.00	2.00	1.99	1.99
78.00	2.00	1.91	2.00	2.00	2.00	2.00
79.00	1.99	1.83	2.00	2.00	1.99	1.98
80.00	2.00	1.85	2.00	2.00	1.99	2.00
81.00	1.98	1.88	1.99	1.99	1.99	1.99
82.00	2.00	1.91	2.00	2.00	1.99	2.00
83.00	2.00	1.92	2.00	2.00	1.98	2.00
84.00	2.00	1.87	2.00	2.00	1.99	2.00
85.00	1.99	1.87	2.00	2.00	1.99	1.99
86.00	1.99	1.93	2.00	2.00	1.99	1.99
87.00	1.99	1.88	1.99	1.99	1.99	2.00
88.00	2.00	1.85	2.00	2.00	2.00	2.00
89.00	2.00	1.90	2.00	2.00	2.00	2.00
90.00	2.00	1.85	2.00	2.00	2.00	2.00
91.00	1.99	1.94	2.00	2.00	1.98	2.00
92.00	2.00	1.88	2.00	2.00	1.98	1.99
93.00	2.00	1.91	1.99	1.99	2.00	1.99
94.00	2.00	1.88	2.00	2.00	2.00	2.00
95.00	2.00	1.93	2.00	2.00	1.99	1.99
96.00	1.98	1.92	2.00	2.00	1.99	2.00
97.00	2.00	1.88	2.00	2.00	1.99	1.99
98.00	1.99	1.84	2.00	2.00	2.01	2.00
99.00	1.98	1.90	1.99	2.00	1.99	1.99
100.00	2.00	1.83	2.00	1.99	1.98	2.00
101.00	2.00	1.87	2.00	2.00	1.99	2.00
102.00	2.00	1.86	2.00	2.00	1.98	2.00
103.00	1.98	1.90	2.00	2.00	2.00	2.00
104.00	2.00	1.87	2.00	2.00	1.99	1.99
105.00	1.99	1.88	1.99	2.00	1.97	2.00
106.00	1.98	1.90	2.00	1.99	1.99	2.00
107.00	2.00	1.94	2.00	2.00	2.00	1.99
108.00	2.00	1.87	2.00	2.00	1.99	2.00
109.00	2.00	1.91	2.00	2.00	2.00	1.99
110.00	1.99	1.85	2.00	2.00	1.98	2.00
111.00	2.00	1.91	2.00	2.00	1.99	2.00
112.00	2.00	1.85	1.99	1.99	2.00	2.00
113.00	1.99	1.87	2.00	2.00	2.00	1.99
114.00	2.00	1.90	2.00	2.00	2.00	2.00
115.00	1.99	1.93	2.00	2.00	1.99	1.99
