Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.819s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	3.14	3.14	3.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	3.15	3.15	3.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	3.15	3.15	3.15	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
5.00	3.15	3.15	3.15	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	2.37	0.04	0.00	0.06	0.04	0.00	0.00	0.00
6.00	3.15	3.15	3.15	0.00	0.00	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.18	0.00	1.77	0.66	0.00	0.00	0.00
7.00	3.15	3.15	3.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.05	0.00	0.00	0.00	1.81	0.41	0.00	1.64	0.00	0.00	0.00	0.00
8.00	3.15	3.15	3.15	0.00	0.00	3.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00	0.00	1.80	0.00	0.00	1.65	0.09	0.00	0.00	0.00
9.00	3.15	3.15	3.15	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.00	1.81	0.00	0.64	1.65	0.13	0.00	0.00	0.00
10.00	3.15	3.15	3.15	0.00	0.00	0.91	0.00	0.00	0.00	0.00	1.55	0.00	0.00	2.24	0.00	0.00	0.00	1.80	0.16	0.00	1.64	0.00	0.00	0.00	0.00
11.00	3.15	3.15	3.15	0.00	0.00	0.51	0.00	0.00	0.00	0.53	0.15	0.00	0.00	2.10	0.00	0.00	0.00	1.80	1.13	0.14	1.66	2.45	0.00	0.00	0.00
