Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.480s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	1.99	1.97	1.88	1.48
3.00	0.00	1.48	1.95	2.00	1.99	1.90	2.00
4.00	1.50	1.87	2.00	2.00	2.00	1.94	1.99
5.00	1.99	1.92	2.00	2.00	2.00	0.00	0.01
6.00	2.00	1.88	2.00	2.00	1.99	0.00	0.00
7.00	2.00	1.86	1.99	2.00	2.00	0.00	0.00
8.00	1.99	1.92	2.00	1.99	2.00	0.00	0.00
9.00	2.00	1.88	2.00	2.00	2.00	0.00	0.00
10.00	2.00	1.85	2.00	2.00	2.00	0.00	0.00
11.00	2.00	1.91	2.00	2.00	1.99	0.00	0.00
12.00	1.99	1.86	2.00	2.00	2.00	0.00	0.00
13.00	2.00	1.87	1.99	2.00	2.00	0.00	0.00
14.00	2.00	1.90	2.00	1.99	2.00	0.00	0.00
15.00	2.00	1.88	2.00	2.00	2.00	0.00	0.00
16.00	2.00	1.88	2.00	2.00	2.00	0.00	0.00
17.00	2.00	1.91	2.00	2.00	2.00	0.00	0.00
18.00	1.99	1.91	2.00	2.00	2.00	0.00	0.00
19.00	2.00	1.88	2.00	2.00	1.99	0.00	0.00
20.00	1.99	1.90	1.99	1.99	2.00	0.00	0.00
21.00	2.00	1.90	2.00	2.00	2.00	0.00	0.00
22.00	2.00	1.87	2.00	2.00	2.00	0.00	0.00
