Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.240s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
152.00	2.00	1.97	1.99	2.00	2.00	1.98	1.98	1.97	1.99
153.00	1.98	1.93	1.99	2.00	2.00	1.99	2.00	1.90	1.99
154.00	2.00	1.97	1.99	2.00	2.00	1.97	1.99	1.95	2.00
155.00	2.00	1.95	1.98	1.99	1.99	2.00	1.97	1.94	1.99
156.00	2.00	1.97	1.97	2.00	2.00	2.00	1.99	1.95	1.98
157.00	1.95	1.93	2.00	2.00	2.00	1.99	1.97	1.94	1.97
158.00	2.00	1.94	1.98	2.00	2.00	1.99	2.00	1.92	2.00
159.00	1.98	1.95	1.97	2.00	2.00	2.00	2.01	1.95	1.99
160.00	2.00	1.97	2.00	2.00	2.00	1.99	1.99	1.97	2.00
161.00	1.99	1.97	1.98	1.99	1.99	1.99	1.99	1.97	1.98
162.00	2.00	1.95	1.99	2.00	2.00	2.00	1.99	1.97	2.00
163.00	1.99	1.98	1.98	2.00	2.00	1.98	1.99	1.98	1.98
164.00	1.99	1.92	1.94	2.00	2.00	1.99	1.99	1.94	2.00
165.00	1.98	1.97	2.00	2.00	2.00	2.01	1.99	1.94	1.97
166.00	2.00	1.98	1.99	2.00	2.00	1.98	1.99	1.94	1.98
167.00	2.00	1.98	1.99	1.99	1.99	2.00	1.98	1.94	1.97
168.00	2.00	1.94	1.98	2.00	2.00	2.00	1.97	1.95	2.00
169.00	2.00	1.97	1.99	2.00	2.00	2.00	1.99	1.95	2.00
170.00	1.99	1.91	1.98	2.00	2.00	2.00	1.97	1.98	1.99
171.00	1.99	1.97	1.98	2.00	2.00	2.00	1.99	1.94	1.99
172.00	2.00	1.95	1.99	2.00	2.00	1.99	2.00	1.95	2.00
173.00	1.98	1.94	1.99	1.99	1.99	2.00	2.00	1.98	1.94
174.00	2.00	1.94	1.99	2.00	2.00	1.98	1.99	1.95	2.00
175.00	1.97	1.94	1.99	2.00	2.00	2.00	1.98	1.99	1.99
176.00	1.98	1.93	1.98	2.00	2.00	1.99	1.97	1.97	1.99
177.00	2.00	1.92	1.98	2.00	2.00	2.00	1.98	1.91	1.98
178.00	2.00	1.98	2.00	2.00	2.00	2.00	2.00	1.95	2.00
179.00	1.98	1.97	1.99	1.99	1.99	2.00	1.99	1.93	1.98
10.2.1.2	2.04	7.84
10.1.1.1	1.87	3674.02
10.1.1.2	1.98	3224.72
10.1.1.3	2.02	2646.80
10.1.1.4	2.04	336.84
10.1.1.6	2.02	3597.40
10.1.1.7	2.02	4667.33
10.1.1.8	1.96	8877.58
10.1.1.9	1.98	3528.42
