Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.241s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.57	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
5.00	1.37	1.53	1.38	1.55	2.00	0.00	0.00	0.00	0.00
6.00	1.99	1.98	1.99	2.00	2.00	0.00	0.00	0.00	0.00
7.00	1.99	2.00	2.00	1.99	2.00	1.10	1.08	0.91	0.89
8.00	2.00	1.94	1.99	2.00	1.99	2.00	1.98	1.98	2.00
9.00	2.00	1.94	1.99	2.00	2.00	1.99	2.00	1.93	1.98
10.00	2.00	1.94	2.00	2.00	2.00	1.97	2.00	1.91	1.99
11.00	1.98	1.95	1.97	2.00	2.00	1.98	1.98	1.93	1.98
12.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00	1.98	2.00
13.00	1.98	1.97	1.99	2.00	2.00	2.00	1.98	1.98	2.00
14.00	2.00	1.99	1.99	1.99	1.99	1.99	1.99	1.98	2.00
15.00	1.99	1.99	2.00	2.00	2.00	2.00	1.99	1.95	1.97
16.00	1.97	1.94	1.98	2.00	2.00	2.00	1.99	1.95	2.00
17.00	2.00	1.94	2.01	2.00	2.00	2.00	1.97	1.95	1.95
