Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.309s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	1.51	1.95	1.98	0.67	1.93
3.00	1.99	2.00	2.00	1.98	2.00
4.00	2.00	2.00	2.00	1.98	2.00
5.00	2.00	2.00	2.00	2.00	1.99
6.00	2.00	2.00	2.00	1.98	1.99
7.00	1.99	1.99	2.00	1.97	2.00
8.00	2.00	2.00	1.99	1.98	1.99
9.00	2.00	2.00	2.00	1.99	2.00
10.00	2.00	2.00	2.00	1.99	2.00
11.00	1.99	2.00	2.00	2.00	1.99
12.00	2.00	2.00	2.00	1.99	1.99
13.00	1.99	2.00	2.00	1.99	2.00
14.00	2.00	1.99	1.99	1.98	2.00
15.00	2.00	2.00	2.00	2.00	2.00
16.00	2.00	2.00	2.00	1.99	2.00
17.00	1.98	2.00	2.00	1.99	1.99
18.00	2.00	2.00	2.00	1.97	1.99
19.00	1.99	2.00	2.00	2.00	2.00
20.00	2.00	1.99	1.99	1.99	1.99
21.00	2.00	2.00	2.00	1.95	2.00
22.00	2.00	2.00	2.00	1.99	2.00
23.00	2.00	2.00	2.00	1.97	1.99
24.00	1.99	2.00	2.00	1.99	1.99
25.00	2.00	2.00	2.00	1.98	2.00
26.00	1.99	1.99	1.99	1.99	2.00
27.00	2.00	2.00	2.00	1.98	2.00
28.00	2.00	2.00	2.00	2.00	2.00
29.00	2.00	2.00	2.00	2.00	2.00
30.00	2.00	2.00	2.00	1.98	1.99
31.00	1.99	2.00	2.00	1.98	1.99
32.00	2.00	1.99	1.99	1.98	2.00
33.00	2.00	2.00	2.00	1.98	2.00
34.00	2.00	2.00	2.00	1.98	2.00
35.00	2.00	2.00	2.00	1.97	2.00
36.00	2.00	2.00	2.00	1.98	1.99
37.00	1.99	2.00	2.00	1.98	2.00
38.00	2.00	1.99	1.99	2.00	2.00
39.00	2.00	2.00	2.00	1.99	2.00
40.00	2.00	2.00	2.00	1.99	2.00
41.00	2.00	2.00	2.00	1.98	2.00
42.00	2.00	2.00	2.00	1.98	2.00
43.00	1.99	2.00	2.00	1.98	1.99
44.00	2.00	1.99	1.99	1.98	2.00
45.00	2.00	2.00	2.00	1.99	2.00
46.00	2.00	2.00	2.00	1.98	2.00
47.00	1.99	2.00	2.00	1.98	2.00
48.00	2.00	2.00	2.00	1.98	2.00
49.00	2.00	2.00	2.00	1.99	1.99
50.00	1.98	1.99	2.00	1.98	2.00
51.00	2.00	2.00	1.99	1.99	2.00
52.00	2.00	2.00	2.00	1.99	2.00
53.00	1.99	2.00	2.00	2.00	2.00
54.00	2.00	2.00	2.00	1.98	2.00
55.00	1.99	2.00	2.00	1.97	2.00
56.00	2.00	2.00	2.00	1.99	1.99
57.00	2.00	1.99	1.99	1.97	2.00
58.00	2.00	2.00	2.00	2.00	2.00
59.00	2.00	2.00	2.00	1.98	2.00
60.00	2.00	2.00	2.00	2.00	2.00
61.00	1.99	2.00	2.00	1.95	1.99
62.00	2.00	2.00	2.00	1.98	2.00
63.00	2.00	1.99	1.99	2.00	2.00
64.00	2.00	2.00	2.00	1.97	2.00
65.00	2.00	2.00	2.00	1.99	2.00
66.00	2.00	2.00	2.00	2.00	2.00
67.00	2.00	2.00	2.00	1.99	1.99
68.00	1.98	2.00	2.00	1.99	2.00
69.00	2.00	1.99	1.99	1.99	2.00
70.00	1.99	2.00	2.00	1.98	2.00
71.00	2.00	2.00	2.00	1.98	1.99
72.00	2.00	2.00	2.00	1.97	2.00
73.00	1.99	2.00	2.00	1.99	1.99
74.00	2.00	2.00	2.00	1.98	2.00
75.00	2.00	1.99	1.99	1.98	2.00
76.00	2.00	2.00	2.00	1.97	2.00
77.00	2.00	2.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00	1.97	2.00
79.00	2.00	2.00	2.00	1.99	2.00
80.00	1.98	2.00	2.00	2.00	1.99
81.00	2.00	1.99	1.99	1.95	2.00
82.00	2.00	2.00	2.00	1.98	2.00
83.00	1.99	2.00	2.00	1.98	2.00
84.00	2.00	2.00	2.00	1.99	2.00
85.00	2.00	2.00	2.00	1.99	2.00
86.00	1.99	2.00	2.00	1.98	1.98
87.00	2.00	1.99	1.99	1.97	2.00
88.00	2.00	2.00	2.00	1.98	2.00
89.00	2.00	2.00	2.00	1.99	2.00
90.00	2.00	2.00	2.00	1.98	2.00
91.00	2.00	2.00	2.00	1.94	2.00
92.00	1.99	2.00	2.00	1.95	1.98
93.00	2.00	1.99	1.99	1.95	2.00
94.00	2.00	2.00	2.00	1.97	2.00
