Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.432s)
CreateVariables () DONE !!!
Creating 24 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	0.00	1.12	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00	0.00	1.99	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.59	0.00	0.00	0.00	0.00	1.00	0.41	0.00	0.00	0.00	0.00	2.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.29	0.00	0.00	0.00	0.00	1.54	0.24	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00
5.00	0.00	0.14	0.00	0.00	0.00	0.00	1.95	0.61	0.00	0.00	0.00	0.00	2.00	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	0.00	1.50	0.00	0.00	0.00	0.00	1.99	1.48	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	0.00	0.12	0.00	0.00	0.00	0.00	1.97	1.24	0.00	0.00	0.00	0.00	2.00	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	0.00	0.48	0.00	0.00	0.01	0.00	1.83	1.18	0.00	0.00	0.00	0.00	1.99	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	0.00	1.61	0.00	0.00	0.00	0.00	1.75	0.51	0.00	0.00	0.06	0.00	2.00	1.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	0.00	1.47	0.00	0.00	0.00	0.00	1.50	0.74	0.00	0.00	0.08	0.00	2.00	2.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	0.00	1.45	0.00	0.00	0.00	0.00	1.57	1.18	0.00	0.00	0.87	0.00	2.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	0.00	1.71	0.00	0.00	0.00	0.00	2.00	1.83	0.00	0.00	0.87	0.00	2.00	2.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	0.00	1.93	0.00	0.00	0.00	0.00	1.97	1.79	0.00	0.00	0.05	0.00	2.00	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	0.00	1.67	0.00	0.00	0.00	0.00	1.83	1.20	0.00	0.00	0.42	0.00	1.99	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
15.00	0.00	0.01	0.00	0.00	0.00	0.00	1.45	0.35	0.00	0.00	0.00	0.00	2.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	0.00	0.31	0.00	0.00	0.00	0.00	1.81	1.24	0.00	0.00	0.00	0.00	2.00	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	0.00	0.59	0.00	0.00	0.00	0.00	1.93	2.51	0.00	0.00	0.31	0.00	2.00	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	0.00	1.08	0.00	0.00	0.00	0.00	2.00	0.28	0.00	0.00	0.74	0.00	2.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	0.00	0.02	0.00	0.00	0.00	0.00	2.00	0.92	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	0.00	0.20	0.00	0.00	0.00	0.00	1.99	0.99	0.00	0.00	0.00	0.00	1.99	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	0.00	1.18	0.00	0.00	0.01	0.00	1.93	0.01	0.00	0.01	0.42	0.00	2.00	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	0.00	0.73	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.54	0.00	2.00	1.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	0.00	1.15	0.00	0.00	0.07	0.00	1.84	0.95	0.00	0.00	1.11	0.00	2.00	1.38	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.01	0.00	0.00
25.00	0.00	0.58	0.00	0.00	0.00	0.00	1.99	0.84	0.00	0.00	0.01	0.00	2.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	0.00	1.54	0.00	0.00	0.04	0.00	1.75	0.49	0.00	0.00	0.11	0.00	1.99	2.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	0.00	0.53	0.00	0.00	0.00	0.00	1.59	0.92	0.00	0.00	0.28	0.00	2.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	0.00	0.55	0.00	0.00	0.00	0.00	2.00	0.62	0.00	0.00	0.38	0.00	2.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.18	0.00	0.00	0.00	0.00	2.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	0.00	1.06	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00	2.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	0.00	0.88	0.00	0.00	0.00	0.00	1.47	1.71	0.00	0.02	0.31	0.00	1.99	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	0.00	0.15	0.00	0.00	0.00	0.00	1.37	0.81	0.00	0.00	0.00	0.00	2.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	0.00	0.94	0.00	0.00	0.00	0.00	1.38	0.91	0.00	0.01	0.13	0.00	2.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	0.00	1.38	0.00	0.00	0.00	0.00	1.99	0.92	0.00	0.00	0.25	0.00	2.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	0.00	0.94	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.54	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	0.00	0.97	0.00	0.00	0.00	0.00	1.55	0.61	0.00	0.00	0.41	0.00	2.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	0.00	1.75	0.00	0.00	0.05	0.00	1.73	0.95	0.00	0.00	0.01	0.00	1.99	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	0.00	0.85	0.00	0.00	0.05	0.00	1.70	1.34	0.00	0.00	0.09	0.00	2.00	1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
40.00	0.00	0.86	0.00	0.00	0.00	0.00	1.66	1.59	0.00	0.00	0.27	0.00	2.00	2.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
41.00	0.00	0.49	0.00	0.00	0.00	0.00	1.77	0.19	0.00	0.00	0.00	0.00	2.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	0.00	0.55	0.00	0.00	0.00	0.00	2.00	0.57	0.00	0.00	0.01	0.00	2.00	2.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
43.00	0.00	0.46	0.00	0.00	0.00	0.00	2.00	1.27	0.00	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
44.00	0.00	0.69	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.42	0.00	1.99	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
45.00	0.00	1.20	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.42	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
46.00	0.00	1.99	0.00	0.00	0.00	0.00	1.67	0.09	0.00	0.00	0.00	0.00	2.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
47.00	0.00	1.90	0.00	0.00	0.02	0.00	1.77	0.00	0.00	0.00	0.48	0.00	2.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
48.00	0.00	0.74	0.00	0.00	0.00	0.00	0.75	0.29	0.00	0.00	0.27	0.00	2.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
49.00	0.00	0.46	0.00	0.00	0.05	0.00	1.18	0.85	0.00	0.00	0.00	0.00	2.00	0.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
50.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	2.00	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
51.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	1.32	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
52.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	2.32	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
53.00	0.00	0.00	0.00	0.00	0.00	0.00	1.91	1.15	0.00	0.00	0.00	0.00	2.00	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
54.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	2.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
55.00	0.00	0.32	0.00	0.00	0.00	0.00	1.54	0.64	0.00	0.00	0.00	0.00	2.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
56.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
57.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.99	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
58.00	0.00	0.00	0.00	0.00	0.01	0.00	2.00	1.41	0.00	0.00	0.00	0.00	2.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
59.00	0.00	1.27	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	1.26	0.00	2.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
60.00	0.00	1.60	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.93	0.00	2.00	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
61.00	0.00	1.93	0.00	0.00	0.02	0.00	2.00	0.93	0.00	0.00	0.02	0.00	2.00	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
62.00	0.00	1.67	0.00	0.00	0.00	0.00	1.94	0.55	0.00	0.00	0.29	0.00	2.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
63.00	0.00	1.48	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	1.06	0.00	1.99	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
64.00	0.00	0.82	0.00	0.00	0.01	0.00	1.26	0.00	0.00	0.00	0.00	0.00	2.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
65.00	0.00	1.58	0.00	0.00	0.01	0.00	1.99	0.60	0.00	0.00	0.98	0.00	2.00	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
66.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
67.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
68.00	0.00	0.58	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.08	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
69.00	0.00	0.12	0.00	0.00	0.00	0.00	0.53	0.52	0.00	0.00	0.00	0.00	1.99	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
70.00	0.00	0.00	0.00	0.00	0.00	0.00	1.91	0.51	0.00	0.00	0.00	0.00	2.00	2.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
71.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
72.00	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	2.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
73.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	2.00	2.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
74.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
75.00	0.00	0.00	0.00	0.00	0.00	0.00	2.05	0.66	0.00	0.00	0.00	0.00	1.99	2.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
76.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.97	0.00	0.00	0.00	0.00	2.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
77.00	0.00	1.14	0.00	0.00	0.00	0.00	2.00	2.32	0.00	0.00	0.99	0.00	2.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.00	0.00	0.99	0.00	0.00	0.00	0.00	1.80	1.92	0.00	0.00	0.24	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
79.00	0.00	0.09	0.00	0.00	0.00	0.00	1.99	1.08	0.00	0.00	0.00	0.00	2.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.00	0.00	1.77	0.00	0.00	0.01	0.00	1.87	0.00	0.00	0.00	0.25	0.00	2.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
81.00	0.00	1.39	0.00	0.00	0.00	0.00	1.08	0.73	0.00	0.00	0.60	0.00	1.99	1.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
82.00	0.00	0.31	0.00	0.00	0.00	0.00	0.49	0.33	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
83.00	0.00	0.00	0.00	0.00	0.00	0.00	2.46	0.00	0.00	0.00	0.00	0.00	2.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
84.00	0.00	0.13	0.00	0.00	0.00	0.00	1.75	0.86	0.00	0.00	0.18	0.00	2.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
85.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.00	2.00	2.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
86.00	0.00	0.59	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.26	0.00	2.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
87.00	0.00	1.77	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.20	0.00	1.99	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
88.00	0.00	1.26	0.00	0.00	0.04	0.00	1.99	0.65	0.00	0.00	0.78	0.00	2.00	1.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
89.00	0.00	0.61	0.00	0.00	0.00	0.00	1.48	0.20	0.00	0.00	0.00	0.00	2.00	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
90.00	0.00	0.27	0.00	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.00	2.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
91.00	0.00	0.61	0.00	0.00	0.00	0.00	2.20	1.28	0.00	0.00	0.00	0.00	2.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
92.00	0.00	0.27	0.00	0.00	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	2.00	2.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	0.37	0.00	0.00	0.00	0.00	1.99	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
