93.75	175.00	0.00	7.500000
31.25	25.00	0.00	6.600000
31.25	125.00	0.00	6.000000
93.75	25.00	0.00	6.000000
156.25	25.00	0.00	6.000000
93.75	125.00	0.00	5.700000
31.25	75.00	0.00	5.100000
156.25	175.00	0.00	5.100000
31.25	175.00	0.00	4.800000
156.25	125.00	0.00	4.800000
93.75	75.00	0.00	3.900000
156.25	75.00	0.00	3.900000
