Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.054s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
52.00	1.59	1.59	1.59	0.00	2.00	0.86	0.86	0.87
53.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
54.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
55.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
56.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
57.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
58.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
59.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
60.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
61.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
62.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
63.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
64.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
65.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
66.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
67.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
68.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
69.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
70.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
71.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
72.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
73.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
74.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
75.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
76.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
77.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
78.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
79.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
80.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
81.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
82.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
83.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
84.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
85.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
86.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
87.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
88.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
89.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
90.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
91.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
92.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
94.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
95.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
96.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
97.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
98.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
99.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
100.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
101.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
102.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
103.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
104.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
105.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
106.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
107.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
108.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
109.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
110.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
111.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
112.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
113.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
114.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
115.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
116.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
117.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
118.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
119.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
120.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
121.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
122.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
123.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
124.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
125.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
126.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
127.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
128.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
129.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
130.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
131.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
132.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
133.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
134.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
135.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
136.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
137.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
138.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
139.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
140.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
141.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
142.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
143.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
144.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
145.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
146.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
147.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
148.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
149.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
150.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
151.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
152.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
153.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
154.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
155.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
156.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
157.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
158.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
159.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
160.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
161.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
162.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
163.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
164.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
165.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
166.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
167.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
168.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
169.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
170.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
171.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
172.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
173.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
174.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
175.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
176.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
177.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
178.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
179.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00
10.2.1.2	2.04	7.91
10.1.1.1	1.74	4064.13
10.1.1.2	1.56	4150.23
10.1.1.3	1.40	14125.75
10.1.1.4	1.10	23142.24
10.1.1.6	1.69	3164.06
10.1.1.7	1.45	17920.35
10.1.1.8	1.05	20532.42
