Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.913s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
93.00	0.00	2.00	0.00	1.99	0.00	2.00
94.00	0.00	1.98	0.00	2.00	0.00	2.00
95.00	0.00	1.98	0.00	2.00	0.00	2.00
96.00	0.00	2.00	0.00	2.00	0.00	2.00
97.00	0.00	2.00	0.00	2.00	0.00	2.00
98.00	0.00	2.00	0.00	2.00	0.00	1.99
99.00	0.00	1.99	0.00	2.00	0.00	2.00
100.00	0.00	2.00	0.00	1.99	0.00	2.00
101.00	0.00	2.00	0.00	2.00	0.00	2.00
102.00	0.00	2.00	0.00	2.00	0.00	2.00
103.00	0.00	1.99	0.00	2.00	0.00	1.99
104.00	0.00	2.00	0.00	2.00	0.00	1.99
105.00	0.00	1.98	0.00	2.00	0.00	2.00
106.00	0.00	2.00	0.00	1.99	2.41	2.00
107.00	0.00	2.00	0.00	2.00	2.00	2.00
108.00	0.00	2.00	0.00	2.00	2.00	2.00
109.00	1.01	2.00	1.00	2.00	2.00	2.00
110.00	2.00	2.00	2.00	2.00	2.00	1.99
111.00	2.00	1.99	2.00	2.00	1.99	2.00
112.00	1.99	2.00	2.00	1.99	2.00	2.00
113.00	2.00	2.00	0.89	2.00	0.89	0.89
114.00	2.00	2.00	0.00	2.00	0.00	0.00
115.00	2.00	2.00	0.00	2.00	0.00	0.00
116.00	2.00	2.00	0.00	2.00	0.00	0.00
117.00	2.00	1.99	0.00	2.00	0.00	0.00
118.00	1.99	2.00	0.00	1.99	0.00	0.00
119.00	2.00	2.00	0.00	2.00	0.00	0.00
120.00	2.00	2.00	0.00	2.00	0.00	0.00
121.00	2.00	2.00	0.00	2.00	0.00	0.00
122.00	2.00	2.00	0.00	2.00	0.00	0.00
123.00	2.00	1.99	0.00	2.00	0.00	0.00
124.00	1.99	2.00	0.00	1.99	0.00	0.00
125.00	2.00	2.00	0.00	2.00	0.00	0.00
126.00	2.00	2.00	0.00	2.00	0.00	0.00
127.00	2.00	2.00	0.00	2.00	0.00	0.00
128.00	2.00	2.00	0.00	2.00	0.00	0.00
129.00	2.00	1.99	0.00	2.00	0.00	0.00
130.00	1.99	2.00	0.00	1.99	0.00	0.00
131.00	2.00	2.00	0.00	2.00	0.00	0.00
132.00	2.00	2.00	0.00	2.00	0.00	0.00
133.00	2.00	2.00	0.00	2.00	0.00	0.00
134.00	2.00	2.00	0.00	2.00	0.00	0.00
135.00	2.00	1.99	0.00	2.00	0.00	0.00
136.00	1.99	2.00	0.00	1.99	0.00	0.00
137.00	2.00	2.00	0.00	2.00	0.00	0.00
138.00	2.00	2.00	0.00	2.00	0.00	0.00
139.00	2.00	2.00	0.00	2.00	0.00	0.00
140.00	2.00	2.00	0.00	2.00	0.00	0.00
141.00	2.00	1.99	0.00	2.00	0.00	0.00
142.00	1.99	2.00	0.00	2.00	0.00	0.00
143.00	2.00	2.00	0.00	1.99	0.00	0.00
144.00	2.00	2.00	0.00	2.00	0.00	0.00
145.00	2.00	2.00	0.00	2.00	0.00	0.00
146.00	2.00	2.00	0.00	2.00	0.00	0.00
