Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.277s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	0.11	0.33	0.13	0.00	2.00	1.13	1.11	1.12
6.00	0.00	0.00	0.00	1.37	2.00	1.99	1.91	1.99
7.00	0.00	0.00	0.00	1.99	2.00	1.98	1.92	1.99
8.00	0.00	0.00	0.00	2.00	1.99	2.00	1.85	2.00
9.00	0.00	0.00	0.00	2.00	2.00	2.00	1.85	2.00
10.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	2.00
11.00	0.00	0.00	0.00	2.00	2.00	1.99	1.93	1.99
12.00	0.00	0.00	0.00	2.00	2.00	1.99	1.81	2.00
13.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	1.99
14.00	0.00	0.00	0.00	1.99	1.99	2.00	1.95	2.00
15.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	1.98
16.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	2.00
17.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	1.98
18.00	0.00	0.00	0.00	2.00	2.00	1.99	1.90	2.00
19.00	0.00	0.00	0.00	2.00	2.00	1.99	1.94	2.00
20.00	0.00	0.00	0.00	1.99	1.99	2.00	1.91	2.00
21.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	1.98
22.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
23.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	1.98
24.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	2.00
25.00	0.00	0.00	0.00	2.00	2.00	1.99	1.87	1.99
26.00	0.00	0.00	0.00	1.99	1.99	2.00	1.93	2.00
27.00	0.00	0.00	0.00	2.00	2.00	1.99	1.93	1.99
28.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	2.00
29.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	2.00
30.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	1.99
31.00	0.00	0.00	0.00	2.00	2.00	1.99	1.97	1.99
32.00	0.00	0.00	0.00	1.99	1.99	2.00	1.91	2.00
33.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	2.00
34.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
35.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
36.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	1.99
37.00	0.00	0.00	0.00	2.00	2.00	1.99	1.97	2.00
38.00	0.00	0.00	0.00	1.99	1.99	2.00	1.90	2.00
39.00	0.00	0.00	0.00	2.00	2.00	2.00	1.87	2.00
40.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	2.00
41.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
42.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	1.99
43.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	1.99
44.00	0.00	0.00	0.00	1.99	1.99	1.99	1.95	2.00
45.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	1.97
46.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
47.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	2.00
48.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	1.99
49.00	0.00	0.00	0.00	2.00	2.00	1.99	1.90	2.00
50.00	0.00	0.00	0.00	1.99	2.00	1.99	1.86	2.00
51.00	0.00	0.00	0.00	2.00	1.99	2.00	1.88	1.99
52.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	2.00
53.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	1.98
54.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	1.99
55.00	0.00	0.00	0.00	2.00	2.00	1.99	1.92	2.00
56.00	0.00	0.00	0.00	2.00	2.00	2.00	1.87	2.00
57.00	0.00	0.00	0.00	1.99	1.99	2.00	1.95	2.00
58.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
59.00	0.00	0.00	0.00	2.00	2.00	1.99	1.91	2.00
60.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	1.99
61.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	1.98
62.00	0.00	0.00	0.00	2.00	2.00	1.99	1.90	2.00
63.00	0.00	0.00	0.00	1.99	1.99	2.00	1.86	1.99
64.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	2.00
65.00	0.00	0.00	0.00	2.00	2.00	1.99	1.95	2.00
66.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	1.99
67.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	2.00
68.00	0.00	0.00	0.00	2.00	2.00	1.99	1.91	2.00
69.00	0.00	0.00	0.00	1.99	1.99	2.00	1.88	1.99
70.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	2.00
71.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	1.99
72.00	0.00	0.00	0.00	2.00	2.00	2.00	1.87	2.00
73.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	1.99
