Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.245s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.05	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	1.79	0.00	0.00	1.71	2.00	1.79	1.66	0.00
6.00	1.99	1.99	1.91	2.00	2.00	1.99	2.00	1.74
7.00	1.98	2.00	1.94	1.99	2.00	2.00	2.00	2.00
8.00	2.00	2.00	1.94	1.99	1.99	2.00	2.00	1.99
9.00	2.00	2.00	2.00	2.01	2.00	2.00	2.00	2.01
10.00	2.00	2.00	1.97	1.99	2.00	2.00	2.00	1.99
11.00	2.00	2.00	1.99	1.99	2.00	2.00	1.99	1.99
12.00	2.00	1.99	1.98	2.00	2.00	1.98	2.00	2.00
13.00	1.99	2.00	1.97	1.99	2.00	2.00	2.00	2.00
14.00	2.00	2.00	1.99	2.00	1.99	2.00	2.00	2.00
15.00	2.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00
16.00	2.00	2.00	1.99	1.99	2.00	2.00	2.01	1.99
17.00	2.00	1.99	1.97	2.00	2.00	2.00	2.00	2.00
18.00	2.00	2.00	1.98	2.00	2.00	1.99	1.99	2.00
19.00	2.00	2.00	1.97	2.00	2.00	2.00	2.00	2.00
20.00	1.99	2.00	1.98	2.00	1.99	2.00	2.00	2.00
21.00	1.99	2.00	1.99	2.00	2.00	2.00	2.00	1.99
22.00	2.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00
23.00	2.00	2.00	1.97	2.00	2.00	2.00	2.01	2.00
24.00	2.00	2.00	1.97	2.00	2.00	1.99	1.99	2.00
25.00	2.00	1.99	1.98	2.00	2.00	2.00	2.00	2.00
26.00	1.99	2.00	1.99	2.00	1.99	2.00	2.00	2.00
27.00	2.00	2.00	1.97	1.98	2.00	2.00	1.99	1.99
28.00	2.00	2.00	1.99	2.00	2.00	2.00	2.01	2.00
29.00	2.00	2.00	1.95	2.00	2.00	2.00	2.00	1.99
30.00	2.00	1.99	2.00	2.00	2.00	2.00	1.99	2.00
31.00	2.00	2.00	1.98	2.00	2.00	1.99	2.00	2.00
32.00	1.99	2.00	1.93	2.00	1.99	1.99	2.00	2.00
33.00	2.00	2.00	1.97	2.00	2.00	2.00	2.00	2.00
34.00	2.00	2.00	1.97	1.99	2.00	2.00	1.99	1.99
35.00	2.00	2.00	1.97	2.00	2.00	2.00	2.00	1.99
36.00	2.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00
37.00	2.00	2.00	0.05	0.05	2.00	0.04	0.04	0.04
38.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
39.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
40.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
41.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
