Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.362s)
CreateVariables () DONE !!!
Creating 24 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	1.99	0.75	0.37	0.07	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.06
21.00	0.00	0.00	0.00	1.25	0.00	0.44	0.25	0.20	0.00	0.00	0.00	0.05	2.00	1.55	0.55	0.48	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.47
22.00	0.00	0.00	0.00	1.85	0.00	1.06	0.28	0.33	0.00	0.00	0.00	1.65	2.00	1.54	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00
23.00	0.00	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.59	2.00	1.61	0.11	0.09	0.00	0.00	0.00	0.78	0.00	0.00	0.00	0.11
24.00	0.00	0.00	0.00	1.70	0.00	2.10	0.41	0.41	0.00	0.00	0.00	1.88	2.00	1.94	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.04
25.00	0.00	0.00	0.00	0.39	0.00	1.44	0.46	0.46	0.00	0.00	0.00	1.78	2.00	1.06	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00
26.00	0.00	0.00	0.00	1.54	0.00	1.44	0.00	0.00	0.00	0.00	0.00	1.68	1.99	0.79	0.22	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00
27.00	0.00	0.00	0.00	0.51	0.00	0.95	0.00	0.02	0.00	0.00	0.00	0.69	2.00	0.62	0.93	0.02	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00
28.00	0.00	0.00	0.00	0.67	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.71	2.00	0.92	0.21	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.01
29.00	0.00	0.00	0.00	0.75	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.77	2.00	1.52	0.22	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00
30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	2.00	2.19	0.08	0.08	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.08
31.00	0.00	0.00	0.00	0.35	0.00	2.06	0.13	0.13	0.00	0.00	0.00	1.11	2.00	1.33	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.00	0.00
32.00	0.00	0.00	0.00	0.00	0.00	1.68	0.74	0.77	0.00	0.00	0.00	0.00	1.99	0.16	0.00	0.00	0.00	0.00	0.00	2.36	0.00	0.00	0.00	0.00
33.00	0.00	0.00	0.00	0.06	0.00	0.41	0.37	0.35	0.00	0.00	0.00	0.64	2.00	0.41	0.05	0.06	0.00	0.00	0.00	1.57	0.00	0.00	0.00	0.06
34.00	0.00	0.00	0.00	0.39	0.00	1.55	0.12	0.13	0.00	0.00	0.00	2.14	2.00	1.10	0.00	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00
35.00	0.00	0.00	0.00	0.59	0.00	0.93	0.65	0.59	0.00	0.00	0.00	1.70	2.00	1.78	0.40	0.07	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.07
36.00	0.00	0.00	0.00	0.24	0.00	1.26	0.41	0.41	0.00	0.00	0.00	1.37	2.00	1.59	0.22	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00
37.00	0.00	0.00	0.00	1.97	0.00	0.51	1.21	1.21	0.00	0.00	0.00	1.73	2.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	0.00	0.00	0.00	2.01	0.00	2.68	0.00	0.00	0.00	0.00	0.00	0.81	1.99	1.53	1.00	0.00	0.00	0.00	0.00	2.21	0.00	0.00	0.00	0.00
39.00	0.00	0.00	0.00	1.30	0.00	0.09	0.20	0.09	0.00	0.00	0.00	1.20	2.00	0.09	0.14	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00
40.00	0.00	0.00	0.00	0.85	0.00	0.46	0.21	0.21	0.00	0.00	0.00	0.74	2.00	1.19	0.06	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00
41.00	0.00	0.00	0.00	1.22	0.00	2.17	0.00	0.00	0.00	0.00	0.00	0.97	2.00	1.75	0.82	0.04	0.00	0.00	0.00	1.87	0.00	0.00	0.00	0.00
42.00	0.00	0.00	0.00	0.35	0.00	1.40	0.54	0.59	0.00	0.00	0.00	1.67	2.00	1.99	0.47	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00
43.00	0.00	0.00	0.00	0.93	0.00	1.92	0.57	0.54	0.00	0.00	0.00	1.66	2.00	0.91	0.06	0.27	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.28
44.00	0.00	0.00	0.00	0.73	0.00	1.25	0.15	0.14	0.00	0.00	0.00	1.02	1.99	1.63	0.11	0.09	0.00	0.00	0.00	1.97	0.00	0.00	0.00	0.09
45.00	0.00	0.00	0.00	0.69	0.00	1.12	0.00	0.00	0.00	0.00	0.00	1.17	2.00	1.14	0.15	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00
46.00	0.00	0.00	0.00	0.28	0.00	1.04	0.62	0.29	0.00	0.00	0.00	1.12	2.00	1.07	0.05	0.12	0.00	0.00	0.00	1.19	0.00	0.00	0.00	0.04
47.00	0.00	0.00	0.00	0.05	0.00	0.86	0.42	0.35	0.00	0.00	0.00	0.94	2.00	1.73	0.00	0.00	0.00	0.00	0.00	1.42	0.00	0.00	0.00	0.00
48.00	0.00	0.00	0.00	0.91	0.00	0.48	0.01	0.00	0.00	0.00	0.00	0.81	2.00	1.48	0.31	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00
49.00	0.00	0.00	0.00	0.61	0.00	0.58	0.26	0.39	0.00	0.00	0.00	0.08	2.00	1.26	0.00	0.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00	0.00
50.00	0.00	0.00	0.00	0.37	0.00	1.46	0.12	0.39	0.00	0.00	0.00	0.28	2.00	1.19	0.06	0.06	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.06
51.00	0.00	0.00	0.00	1.32	0.00	1.12	0.44	0.41	0.00	0.00	0.00	0.66	1.99	1.72	0.19	0.08	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.08
52.00	0.00	0.00	0.00	1.28	0.00	1.28	0.15	0.15	0.00	0.00	0.00	1.21	2.00	1.27	0.00	0.00	0.00	0.00	0.00	2.52	0.00	0.00	0.00	0.00
53.00	0.00	0.00	0.00	0.87	0.00	1.53	0.21	0.00	0.00	0.00	0.00	1.02	2.00	1.40	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
54.00	0.00	0.00	0.00	0.66	0.00	1.08	0.22	0.18	0.00	0.00	0.00	0.28	2.00	0.21	0.26	0.09	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.09
55.00	0.00	0.00	0.00	1.08	0.00	0.00	0.18	0.18	0.00	0.00	0.00	0.73	2.00	0.94	0.73	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00
56.00	0.00	0.00	0.00	0.84	0.00	1.68	0.55	0.53	0.00	0.00	0.00	1.01	2.00	1.31	0.87	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00
57.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.84	0.00	0.01	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00
58.00	0.00	0.00	0.00	0.12	0.00	1.19	0.48	0.00	0.00	0.00	0.00	0.08	2.00	1.12	0.60	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.00	0.00
59.00	0.00	0.00	0.00	0.80	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.30	0.16	0.19	0.00	0.00	0.00	2.27	0.00	0.00	0.00	0.19
60.00	0.00	0.00	0.00	0.00	0.00	1.84	0.00	0.00	0.00	0.00	0.00	3.40	2.00	1.78	0.22	0.07	0.00	0.00	0.00	1.65	0.00	0.00	0.00	0.07
61.00	0.00	0.00	0.00	1.34	0.00	0.27	0.00	0.00	0.00	0.00	0.00	1.68	2.00	1.78	0.21	0.08	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.08
62.00	0.04	0.00	0.00	0.00	0.00	1.10	0.32	0.34	0.00	0.00	0.00	0.60	2.00	0.92	0.68	0.07	0.00	0.02	0.00	0.77	0.00	0.00	0.00	0.08
63.00	0.00	0.00	0.00	0.85	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.55	1.99	1.17	0.66	0.13	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.13
64.00	0.00	0.00	0.00	0.01	0.00	0.82	1.05	1.02	0.00	0.00	0.00	1.01	2.00	1.21	0.73	0.08	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.08
65.00	0.00	0.00	0.00	0.00	0.00	0.82	0.12	0.00	0.00	0.00	0.00	0.61	2.00	0.42	0.24	0.40	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.35
66.00	0.00	0.00	0.00	0.00	0.00	0.58	0.19	0.19	0.00	0.00	0.00	0.33	2.00	1.20	0.04	0.08	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.08
67.00	0.00	0.00	0.00	0.69	0.00	0.79	0.57	0.58	0.00	0.00	0.00	0.00	2.00	2.01	0.92	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
68.00	0.00	0.00	0.00	0.16	0.00	0.19	0.08	0.09	0.00	0.00	0.00	1.00	2.00	1.39	0.08	0.12	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.11
69.00	0.00	0.00	0.00	1.37	0.00	1.52	0.27	0.35	0.00	0.00	0.00	2.13	1.99	1.68	1.46	0.19	0.00	0.00	0.00	2.18	0.00	0.00	0.00	0.21
70.00	0.00	0.00	0.00	0.97	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.69	2.00	1.05	0.62	0.39	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.31
71.00	0.00	0.00	0.00	0.55	0.00	0.00	0.21	0.39	0.00	0.00	0.00	0.24	2.00	0.66	0.57	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00
72.00	0.00	0.00	0.00	0.00	0.00	1.27	1.06	1.05	0.00	0.00	0.00	1.14	2.00	1.65	0.52	0.25	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.28
73.00	0.00	0.00	0.00	0.33	0.00	0.71	0.08	0.08	0.00	0.00	0.00	0.42	2.00	1.12	0.08	0.13	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.13
74.00	0.00	0.00	0.00	0.00	0.00	1.93	1.35	1.28	0.00	0.00	0.00	1.39	2.00	2.20	0.00	0.00	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00
75.00	0.00	0.00	0.00	0.00	0.00	1.02	0.11	0.06	0.00	0.00	0.00	0.69	1.99	0.88	0.34	0.08	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.08
76.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.35	2.00	0.85	0.66	0.47	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00
77.00	0.00	0.00	0.00	0.14	0.00	0.73	0.71	0.73	0.00	0.00	0.00	1.06	2.00	1.59	0.27	0.12	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.84
78.00	0.00	0.00	0.00	1.41	0.00	0.16	0.08	0.09	0.00	0.00	0.00	0.71	2.00	0.08	0.07	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00
79.00	0.00	0.00	0.00	0.22	0.00	1.24	0.46	0.45	0.00	0.00	0.00	0.49	2.00	0.08	0.35	0.19	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00
80.00	0.00	0.00	0.00	0.13	0.00	1.25	0.52	0.46	0.00	0.00	0.00	0.95	2.00	1.55	0.40	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00
81.00	0.00	0.00	0.00	0.65	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.33	1.99	0.65	0.47	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00
82.00	0.00	0.00	0.00	0.81	0.00	2.19	0.15	0.15	0.00	0.00	0.00	1.26	2.00	0.94	0.37	0.28	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.28
83.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.68	2.00	0.59	0.08	0.33	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.20
84.00	0.00	0.00	0.00	1.55	0.00	0.61	0.47	0.16	0.00	0.00	0.00	1.41	2.00	1.39	0.26	0.24	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.18
85.00	0.00	0.00	0.00	1.54	0.00	1.68	0.00	0.00	0.00	0.00	0.00	1.26	2.00	1.86	0.19	0.00	0.00	0.00	0.00	1.42	0.00	0.00	0.00	0.00
86.00	0.00	0.00	0.00	1.27	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.21	2.00	1.27	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
87.00	0.00	0.00	0.00	1.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	1.64	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00
88.00	0.00	0.00	0.00	0.24	0.00	0.54	0.00	0.00	0.00	0.00	0.00	1.40	2.00	1.33	0.60	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00
89.00	0.00	0.00	0.00	0.00	0.00	1.37	0.08	0.08	0.00	0.00	0.00	0.31	2.00	0.95	0.44	0.16	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.14
90.00	0.00	0.00	0.00	0.14	0.00	0.88	0.00	0.00	0.00	0.00	0.00	1.37	2.00	0.54	0.06	0.00	0.00	0.00	0.00	1.60	0.00	0.00	0.00	0.00
91.00	0.00	0.00	0.00	0.26	0.00	0.89	0.24	0.22	0.00	0.00	0.00	0.40	2.00	1.19	0.77	0.48	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.46
92.00	0.00	0.00	0.00	1.61	0.00	1.90	0.00	0.00	0.00	0.00	0.00	1.58	2.00	1.57	0.00	0.00	0.00	0.00	0.00	1.97	0.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	0.01	0.00	1.90	0.15	0.15	0.00	0.00	0.00	0.47	1.99	1.51	1.22	1.24	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.26
94.00	0.00	0.00	0.00	0.44	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.92	2.00	0.45	0.47	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00
95.00	0.00	0.00	0.00	0.20	0.00	0.16	0.12	0.06	0.00	0.00	0.00	0.62	2.00	0.00	0.35	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00
96.00	0.00	0.00	0.00	1.60	0.00	1.24	0.16	0.13	0.00	0.00	0.00	0.00	2.00	0.19	0.58	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22
97.00	0.00	0.00	0.00	0.00	0.00	0.05	1.00	0.99	0.00	0.00	0.00	0.29	2.00	1.59	0.98	0.31	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.31
98.00	0.00	0.00	0.00	0.89	0.00	0.72	0.24	0.21	0.00	0.00	0.00	0.67	2.00	1.13	1.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08
99.00	0.00	0.00	0.00	0.44	0.00	0.91	0.02	0.02	0.00	0.00	0.00	0.06	2.00	1.11	0.14	0.12	0.00	0.00	0.00	1.80	0.00	0.00	0.00	0.13
100.00	0.00	0.00	0.00	0.60	0.00	2.36	0.15	0.15	0.00	0.00	0.00	0.66	1.99	1.40	0.47	0.05	0.00	0.00	0.00	0.88	0.00	0.00	0.00	0.05
101.00	0.00	0.00	0.00	0.26	0.00	1.31	0.65	0.65	0.00	0.00	0.00	1.88	2.00	1.71	0.13	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00
102.00	0.00	0.00	0.00	2.01	0.00	0.95	0.65	0.66	0.00	0.00	0.00	1.72	2.00	1.33	0.15	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00
103.00	0.00	0.00	0.00	0.84	0.00	1.04	0.06	0.06	0.00	0.00	0.00	1.45	2.00	1.53	0.02	0.04	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.02
104.00	0.00	0.00	0.00	0.46	0.00	0.94	0.15	0.15	0.00	0.00	0.00	0.85	2.00	0.75	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00
105.00	0.00	0.00	0.00	1.20	0.00	0.86	0.01	0.18	0.00	0.00	0.00	0.42	2.00	0.60	0.72	0.48	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.47
106.00	0.00	0.00	0.00	1.37	0.00	1.80	0.16	0.14	0.00	0.00	0.00	1.22	1.99	0.80	0.95	0.00	0.00	0.00	0.00	0.31	0.00	0.41	0.00	0.00
107.00	0.00	0.00	0.00	0.79	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.06	2.00	0.93	0.61	0.59	0.00	0.00	0.00	0.92	0.00	0.20	0.00	0.58
108.00	0.00	0.00	0.00	0.38	0.00	0.19	0.08	0.08	0.00	0.00	0.00	0.75	2.00	0.71	0.42	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16
109.00	0.00	0.00	0.00	0.00	0.00	0.26	0.19	0.16	0.00	0.00	0.00	0.33	2.00	0.00	0.00	0.00	0.37	0.00	0.00	0.69	0.00	0.00	0.00	0.00
110.00	0.00	0.00	0.00	0.00	0.00	0.22	0.11	0.08	0.00	0.00	0.00	0.61	2.00	0.51	0.31	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09
111.00	0.00	0.00	0.00	0.00	0.00	0.59	0.07	0.00	0.00	0.00	0.00	0.08	2.00	0.19	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
112.00	0.00	0.00	0.00	0.51	0.00	0.72	0.20	0.24	0.00	0.00	0.00	1.48	1.99	1.30	0.58	0.15	0.04	0.00	0.00	0.85	0.00	0.29	0.00	0.14
113.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	2.00	0.12	0.00	0.00	0.15	0.00	0.00	1.71	0.00	0.00	0.00	0.00
114.00	0.00	0.00	0.00	0.77	0.00	1.48	1.07	0.62	0.00	0.00	0.00	1.28	2.00	1.25	0.33	0.01	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.04
115.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.32	0.00	0.00	0.00	0.00	2.00	0.59	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.47	2.00	0.18	0.05	0.08	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00
117.00	0.00	0.00	0.00	0.78	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
118.00	0.00	0.00	0.00	0.00	0.00	0.25	0.09	0.11	0.00	0.00	0.00	0.00	1.99	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
119.00	0.00	0.00	0.00	0.39	0.00	0.41	0.54	0.57	0.00	0.00	0.00	0.00	2.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
120.00	0.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.00	0.97	2.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
121.00	0.00	0.00	0.00	0.31	0.00	0.49	0.12	0.12	0.00	0.00	0.00	0.91	2.00	0.15	0.41	0.09	0.00	0.00	0.00	2.52	0.00	0.05	0.00	0.08
122.00	0.00	0.00	0.00	0.55	0.00	0.73	0.08	0.00	0.00	0.00	0.00	1.07	2.00	1.45	0.00	0.01	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00
123.00	0.00	0.00	0.00	2.08	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.29	2.00	1.40	0.32	0.00	0.00	0.00	0.00	1.10	0.15	0.11	0.00	0.00
124.00	0.00	0.00	0.00	0.31	0.00	0.52	0.34	0.40	0.00	0.00	0.00	0.54	1.99	1.64	0.31	0.31	0.00	0.00	0.00	1.79	0.00	0.00	0.00	0.00
125.00	0.00	0.00	0.00	0.00	0.00	0.37	0.05	0.04	0.00	0.00	0.00	0.69	2.00	0.86	0.00	0.00	0.13	0.00	0.00	0.55	0.00	0.00	0.00	0.00
126.00	0.00	0.00	0.00	0.92	0.00	0.67	0.09	0.00	0.00	0.00	0.00	0.42	2.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
127.00	0.00	0.00	0.00	0.41	0.00	0.29	0.04	0.04	0.00	0.00	0.00	0.52	2.00	0.85	0.28	0.00	0.13	0.00	0.00	1.15	0.00	0.00	0.00	0.00
128.00	0.00	0.00	0.00	1.11	0.00	1.31	0.55	0.53	0.00	0.00	0.00	0.62	2.00	0.05	0.27	0.27	0.00	0.00	0.00	0.65	0.00	0.24	0.00	0.27
129.00	0.00	0.00	0.00	1.79	0.00	0.13	0.15	0.15	0.00	0.00	0.00	0.16	2.00	1.15	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00
130.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	1.73	1.99	0.77	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00
131.00	0.00	0.00	0.00	0.26	0.00	1.06	0.02	0.11	0.00	0.00	0.00	0.13	2.00	1.11	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00
