Waf: Entering directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Waf: Leaving directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (10.319s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	34.29	30.23	27.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	40.05	35.29	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	40.06	35.29	32.42	0.00	3.65	0.03	2.75	0.00	0.00	0.00	0.00
6.00	40.05	35.29	32.43	0.00	0.00	0.03	0.00	0.36	0.00	0.00	0.00
7.00	40.06	35.29	32.42	0.00	0.00	8.66	0.00	0.00	0.00	0.00	0.00
8.00	40.06	35.29	32.42	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00
9.00	40.05	35.29	32.42	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
10.00	40.06	35.29	32.43	0.00	0.00	3.96	0.00	0.31	0.00	0.00	0.00
11.00	40.05	35.29	32.42	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00
12.00	40.06	35.29	32.42	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00
13.00	40.06	35.29	32.42	0.00	0.00	9.66	0.00	0.46	0.00	0.00	0.00
14.00	40.05	35.29	32.43	0.00	0.00	3.64	0.00	0.19	0.00	0.00	0.00
15.00	40.06	35.29	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	40.05	35.29	32.42	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
17.00	40.06	35.29	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	40.05	35.29	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	40.06	35.29	32.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	40.06	35.29	32.42	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00
21.00	40.05	35.29	32.42	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00
22.00	40.06	35.29	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	40.05	35.29	32.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	40.06	35.29	32.42	0.00	0.00	2.43	0.00	0.00	0.00	0.00	0.00
25.00	40.06	35.29	32.42	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00
26.00	40.05	35.29	32.42	0.00	0.00	13.20	0.00	0.00	0.00	0.00	0.00
27.00	40.06	35.29	32.43	0.00	0.00	12.83	0.00	0.00	0.00	0.00	0.00
28.00	40.05	35.29	32.42	0.00	0.00	12.88	0.00	0.00	0.00	0.00	0.00
29.00	40.06	35.29	32.42	0.00	0.00	11.97	0.00	0.00	0.00	0.00	0.00
30.00	40.06	35.29	32.42	0.00	0.00	14.04	0.00	0.00	0.00	0.00	0.00
31.00	40.05	35.29	32.43	0.00	0.00	1.12	0.00	0.00	0.00	0.00	0.00
32.00	40.06	35.29	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	40.05	35.29	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	40.06	35.29	32.42	0.00	0.00	7.52	0.00	0.00	0.00	0.00	0.00
35.00	40.05	35.29	32.43	0.00	0.00	11.16	0.00	0.00	0.00	0.00	0.00
36.00	40.06	35.29	32.42	0.00	0.00	12.92	0.00	0.00	0.00	0.00	0.00
37.00	40.06	35.29	32.42	0.00	0.00	12.72	0.00	0.00	0.00	0.00	0.00
38.00	40.05	35.29	32.42	0.00	0.00	12.30	0.00	0.00	0.00	0.00	0.00
39.00	40.06	35.29	32.42	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.00
