Waf: Entering directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Waf: Leaving directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (10.020s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	21.02	15.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	36.24	25.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	36.24	25.75	13.51	3.74	0.00	0.00	1.08	0.00	0.00	0.00
6.00	36.24	25.74	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	36.24	25.75	24.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	36.24	25.74	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	36.23	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	36.24	25.74	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	36.24	25.75	24.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	36.24	25.74	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	36.23	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	36.24	25.75	24.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	36.24	25.74	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	36.24	25.74	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	36.24	25.75	24.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	36.23	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	36.24	25.74	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	36.24	25.75	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
