Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.462s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	1.50	0.00	1.95	1.99	0.69	0.00	1.97
3.00	2.00	1.46	2.00	2.00	2.00	1.92	2.00
4.00	2.00	1.94	2.00	2.00	1.99	1.91	2.00
5.00	2.00	1.95	2.00	2.00	2.00	1.97	1.95
6.00	1.99	1.91	2.00	2.00	2.00	1.92	2.00
7.00	2.00	1.95	1.99	2.00	1.99	1.95	2.00
8.00	2.00	1.95	2.00	1.99	2.00	1.90	1.98
9.00	2.00	1.95	2.00	2.00	2.00	1.97	2.00
10.00	2.00	1.90	2.00	2.00	2.00	1.92	2.00
11.00	1.99	1.95	2.00	2.00	2.00	1.94	1.98
12.00	2.00	1.93	2.00	2.00	1.99	1.97	2.00
13.00	2.00	1.91	2.00	2.00	1.99	1.91	1.99
14.00	1.99	1.93	1.99	1.99	1.99	1.95	2.00
15.00	2.00	1.90	2.00	2.00	2.00	1.92	2.00
16.00	1.99	1.92	2.00	2.00	2.00	1.92	1.99
17.00	1.99	1.92	2.00	2.00	1.99	1.94	2.00
18.00	2.00	1.91	2.00	2.00	1.99	1.88	1.99
19.00	2.00	1.94	2.00	2.00	2.00	1.95	2.00
20.00	2.00	1.94	1.99	1.99	2.00	1.93	2.00
21.00	2.00	1.91	2.00	2.00	2.00	1.93	2.00
22.00	2.00	1.90	2.00	2.00	2.00	1.92	2.00
23.00	1.99	1.91	2.00	2.00	2.00	1.94	1.98
24.00	2.00	1.86	2.00	2.00	2.00	1.93	1.99
