Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.343s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	1.99	1.11	0.00	0.00	0.00	0.00	0.13	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	2.00	0.67	0.00	0.00	0.00	0.00	1.00	0.00	0.00
4.00	0.00	0.00	0.00	1.05	1.12	0.00	0.00	0.00	0.00	2.00	1.66	0.00	0.00	0.00	0.00	0.13	0.00	0.00
5.00	0.00	0.00	0.00	0.12	0.67	0.00	0.00	0.00	0.00	2.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	0.00	0.00	0.00	0.47	0.55	0.00	0.00	0.00	0.00	2.00	0.74	0.00	0.00	0.00	0.00	1.54	0.00	0.00
7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	0.00	0.00	0.00	0.42	0.46	0.00	0.00	0.00	0.00	1.99	2.11	0.00	0.00	0.00	0.00	0.61	0.00	0.00
9.00	0.00	0.00	0.00	0.33	1.06	0.00	0.00	0.00	0.00	2.00	1.08	0.00	0.00	0.00	0.00	1.46	0.00	0.00
10.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	2.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.01
11.00	0.00	0.00	0.00	1.20	0.52	0.00	0.00	0.00	0.00	2.00	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	2.00	0.81	0.00	0.00	0.00	0.00	0.57	0.00	0.00
13.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	2.00	0.97	0.00	0.00	0.00	0.00	1.20	0.00	0.00
14.00	0.00	0.00	0.00	0.04	0.71	0.00	0.00	0.00	0.00	1.99	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	2.00	0.92	0.00	0.00	0.00	0.00	1.73	0.00	0.00
16.00	0.00	0.00	0.00	0.57	0.61	0.00	0.00	0.00	0.00	2.00	0.75	0.00	0.00	0.00	0.00	1.63	0.00	0.00
17.00	0.00	0.00	0.00	0.55	0.52	0.00	0.00	0.00	0.00	2.00	0.66	0.00	0.00	0.00	0.00	0.59	0.00	0.00
18.00	0.00	0.00	0.00	0.20	0.72	0.00	0.00	0.00	0.00	2.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	2.00	0.66	0.00	0.00	0.00	0.00	2.28	0.00	0.00
20.00	0.00	0.00	0.00	0.38	1.37	0.00	0.00	0.00	0.00	1.99	1.84	0.00	0.00	0.00	0.00	1.66	0.00	0.00
21.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	2.00	0.29	0.00	0.00	0.00	0.00	0.88	0.00	0.00
22.00	0.00	0.00	0.00	0.47	1.20	0.00	0.00	0.00	0.00	2.00	2.03	0.00	0.00	0.00	0.00	1.52	0.00	0.00
23.00	0.00	0.00	0.00	0.00	0.65	0.00	0.00	0.00	0.00	2.00	0.77	0.00	0.00	0.00	0.00	0.77	0.00	0.00
24.00	0.00	0.00	0.00	0.77	1.10	0.00	0.00	0.00	0.00	2.00	1.28	0.00	0.00	0.00	0.00	1.07	0.00	0.00
25.00	0.00	0.00	0.00	0.49	0.88	0.00	0.00	0.00	0.00	2.00	1.02	0.00	0.00	0.00	0.00	0.16	0.00	0.00
26.00	0.00	0.00	0.00	0.06	1.21	0.00	0.00	0.00	0.00	1.99	1.91	0.00	0.00	0.00	0.00	2.16	0.00	0.00
27.00	0.00	0.00	0.00	0.02	1.07	0.00	0.00	0.00	0.00	2.00	1.06	0.00	0.00	0.00	0.00	0.69	0.00	0.00
28.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	2.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	0.00	0.00	0.00	0.60	1.65	0.00	0.00	0.00	0.00	2.00	1.95	0.00	0.00	0.00	0.00	0.51	0.00	0.00
30.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	2.00	0.85	0.00	0.00	0.00	0.00	1.41	0.00	0.01
31.00	0.00	0.00	0.00	0.11	0.32	0.00	0.00	0.00	0.00	2.00	0.29	0.00	0.00	0.00	0.00	1.64	0.00	0.00
32.00	0.00	0.00	0.00	1.10	0.82	0.00	0.00	0.00	0.00	1.99	0.91	0.00	0.00	0.00	0.00	0.02	0.00	0.00
33.00	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	1.31	0.00	0.00
34.00	0.00	0.00	0.00	0.26	1.04	0.00	0.00	0.00	0.00	2.00	1.15	0.00	0.00	0.00	0.00	2.19	0.00	0.00
35.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	2.00	0.08	0.00	0.00	0.00	0.00	0.20	0.00	0.00
36.00	0.00	0.00	0.00	0.05	0.44	0.00	0.00	0.00	0.00	2.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	0.00	0.00	0.00	0.18	0.12	0.00	0.00	0.00	0.00	2.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	0.00	0.00	0.00	1.37	2.38	0.00	0.00	0.00	0.00	1.99	2.32	0.00	0.00	0.00	0.00	2.08	0.00	0.00
39.00	0.00	0.00	0.00	1.01	0.94	0.00	0.00	0.00	0.00	2.00	1.59	0.00	0.00	0.00	0.00	1.52	0.00	0.02
40.00	0.00	0.00	0.00	0.93	0.99	0.00	0.00	0.00	0.00	2.00	1.05	0.00	0.00	0.00	0.00	0.77	0.00	0.00
41.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
43.00	0.00	0.00	0.00	0.51	1.40	0.00	0.00	0.00	0.00	2.00	1.31	0.00	0.00	0.00	0.00	2.08	0.00	0.00
44.00	0.00	0.00	0.00	0.22	0.52	0.00	0.00	0.00	0.00	1.99	0.18	0.00	0.00	0.00	0.00	0.42	0.00	0.00
45.00	0.00	0.00	0.00	0.21	0.46	0.00	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	0.54	0.00	0.00
46.00	0.00	0.00	0.00	0.07	0.54	0.00	0.00	0.00	0.00	2.00	0.99	0.00	0.00	0.00	0.00	1.12	0.00	0.00
47.00	0.00	0.00	0.00	2.07	1.34	0.00	0.00	0.00	0.00	2.00	1.48	0.00	0.00	0.00	0.00	1.33	0.00	0.00
48.00	0.00	0.00	0.00	1.07	1.11	0.00	0.00	0.00	0.00	2.00	1.25	0.00	0.00	0.00	0.00	1.46	0.00	0.00
49.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	2.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00
50.00	0.00	0.00	0.00	1.75	1.28	0.00	0.00	0.00	0.00	2.00	1.22	0.00	0.00	0.00	0.00	0.85	0.00	0.00
51.00	0.00	0.00	0.00	0.46	0.80	0.00	0.00	0.00	0.00	1.99	0.81	0.00	0.00	0.00	0.00	0.18	0.00	0.00
52.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00	2.00	0.32	0.00	0.00	0.00	0.00	1.50	0.00	0.00
