Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.270s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	1.51	0.00	0.00
4.00	0.00	0.00	2.00	0.00	0.00
5.00	0.00	1.61	2.00	1.80	1.80
6.00	1.81	1.99	2.00	1.99	1.97
7.00	1.99	2.00	2.00	1.99	1.98
8.00	1.99	2.00	1.99	2.00	2.00
9.00	1.99	2.00	2.00	1.99	2.00
10.00	2.00	2.00	2.00	1.98	1.98
11.00	1.99	1.99	2.00	1.98	2.00
12.00	2.00	2.00	2.00	2.01	2.01
13.00	1.99	2.00	2.00	1.98	1.98
14.00	2.00	2.00	1.99	1.99	1.99
15.00	1.99	2.00	2.00	2.00	1.99
16.00	2.00	1.99	2.00	1.99	1.99
17.00	1.99	2.00	2.00	1.97	1.99
18.00	1.99	2.00	2.00	2.00	2.01
19.00	1.99	2.00	2.00	2.00	1.99
20.00	1.99	2.00	1.99	2.00	1.99
21.00	2.00	1.99	2.00	1.99	1.99
22.00	2.00	2.00	2.00	2.00	1.99
23.00	2.00	2.00	2.00	2.00	2.00
24.00	2.00	2.00	2.00	1.99	2.00
25.00	2.00	2.00	2.00	2.00	1.99
26.00	1.95	2.00	1.99	1.98	1.99
27.00	1.98	2.00	2.00	0.68	0.68
28.00	2.00	2.00	2.00	2.78	1.59
