Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.951s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.93	1.99	1.97
3.00	2.00	2.00	1.99
4.00	2.00	2.00	2.00
5.00	2.00	2.00	2.00
6.00	2.00	2.00	1.99
7.00	2.00	2.00	2.00
8.00	1.99	1.99	2.01
9.00	2.01	2.00	1.99
10.00	1.99	2.00	2.00
11.00	2.00	2.00	2.00
12.00	2.00	2.00	2.00
13.00	1.99	2.00	2.00
14.00	2.01	1.99	1.99
15.00	1.99	2.00	2.01
16.00	2.00	2.00	1.99
17.00	2.00	2.00	2.00
18.00	2.00	2.00	2.00
19.00	2.00	2.00	1.99
20.00	1.99	1.99	2.01
21.00	2.00	2.00	1.99
22.00	2.01	2.00	2.00
23.00	1.99	2.00	2.00
24.00	2.00	2.00	2.00
25.00	2.00	2.00	1.99
26.00	1.98	1.99	2.01
27.00	2.01	2.00	1.99
28.00	2.00	2.00	2.00
29.00	1.99	2.00	2.00
30.00	2.00	2.00	2.00
31.00	1.99	2.00	2.00
32.00	2.01	1.99	1.99
33.00	1.99	2.00	2.01
34.00	1.99	2.00	1.99
35.00	2.00	2.00	2.00
36.00	2.00	2.00	2.00
37.00	1.99	2.00	1.99
38.00	2.01	1.99	2.00
39.00	2.00	2.00	1.99
40.00	1.99	2.00	2.00
41.00	2.00	2.00	2.00
42.00	2.00	2.00	2.00
43.00	2.00	2.00	2.00
44.00	1.99	1.99	1.99
45.00	2.01	2.00	2.00
46.00	1.99	2.00	2.00
47.00	2.00	2.00	2.00
48.00	2.00	2.00	2.00
49.00	2.00	2.00	2.00
50.00	1.99	2.00	1.99
51.00	1.99	1.99	2.01
52.00	2.00	2.00	2.00
53.00	2.00	2.00	1.99
54.00	2.00	2.00	2.00
55.00	2.00	2.00	2.00
56.00	2.00	2.00	2.00
57.00	2.00	1.99	1.98
58.00	2.00	2.00	2.01
59.00	1.99	2.00	2.00
60.00	2.00	2.00	2.00
61.00	2.00	2.00	2.00
62.00	2.00	2.00	1.99
63.00	2.00	1.99	2.00
64.00	1.99	2.00	2.00
65.00	2.00	2.00	2.00
66.00	2.00	2.00	2.00
67.00	2.00	2.00	2.00
68.00	2.00	2.00	2.00
69.00	2.00	1.99	2.00
70.00	2.00	2.00	1.99
71.00	1.99	2.00	2.00
72.00	2.00	2.00	2.00
73.00	2.00	2.00	2.00
74.00	2.00	2.00	1.99
75.00	2.00	1.99	2.00
76.00	1.99	2.00	1.99
77.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00
79.00	2.00	2.00	2.00
80.00	1.99	2.00	2.00
81.00	2.00	1.99	2.00
82.00	2.00	2.00	1.99
83.00	2.00	2.00	2.00
84.00	2.00	2.00	2.00
85.00	2.00	2.00	2.00
86.00	2.00	2.00	2.00
87.00	2.00	1.99	2.00
88.00	1.99	2.00	2.00
89.00	2.00	2.00	1.98
90.00	2.00	2.00	2.00
91.00	2.00	2.00	2.00
92.00	2.00	2.00	2.00
93.00	2.00	1.99	2.00
94.00	1.99	2.00	2.00
95.00	2.00	2.00	1.99
96.00	2.00	2.00	2.00
97.00	2.00	2.00	2.00
98.00	2.00	2.00	2.00
99.00	2.00	2.00	1.99
100.00	2.00	1.99	2.00
101.00	1.99	2.00	2.00
102.00	2.00	2.00	2.00
103.00	2.00	2.00	2.00
104.00	2.00	2.00	2.00
105.00	2.00	2.00	2.00
106.00	2.00	1.99	1.99
107.00	1.99	2.00	2.00
108.00	2.01	2.00	2.00
109.00	1.99	2.00	2.00
110.00	2.00	2.00	2.00
111.00	2.00	2.00	2.00
112.00	2.00	1.99	1.99
113.00	1.99	2.00	2.00
114.00	2.00	2.00	2.01
115.00	2.00	2.00	1.99
116.00	2.00	2.00	2.00
117.00	2.00	2.00	2.00
118.00	1.99	1.99	1.99
119.00	2.00	2.00	2.00
120.00	2.00	2.00	2.01
121.00	2.00	2.00	1.99
122.00	2.00	2.00	2.00
123.00	1.99	2.00	2.00
124.00	2.00	1.99	2.00
125.00	2.01	2.00	1.99
126.00	1.99	2.00	2.00
127.00	2.00	2.00	2.00
128.00	2.00	2.00	2.00
129.00	2.00	2.00	2.00
130.00	2.00	1.99	1.99
131.00	1.99	2.00	2.00
132.00	2.00	2.00	2.00
133.00	2.00	2.00	2.00
134.00	2.00	2.00	2.00
135.00	2.00	2.00	2.00
136.00	2.00	1.99	1.99
137.00	1.99	2.00	2.01
138.00	2.00	2.00	1.99
139.00	2.00	2.00	2.00
140.00	2.00	2.00	2.00
141.00	2.00	2.00	2.00
142.00	2.00	2.00	1.99
