Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.347s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
70.00	2.00	1.99	2.00	2.00	2.00	2.00	1.95	2.00
71.00	1.98	1.95	2.00	2.00	2.00	2.00	1.95	1.99
72.00	1.99	1.97	1.99	2.00	2.00	2.00	1.93	1.99
73.00	1.99	1.97	1.99	2.00	2.00	1.98	1.92	2.00
74.00	2.00	1.99	2.00	2.00	2.00	2.00	1.98	2.00
75.00	2.00	1.98	1.98	1.99	1.99	1.99	1.93	2.00
76.00	2.00	1.98	2.00	2.00	2.00	1.98	1.94	1.99
77.00	1.99	1.98	1.99	2.00	2.00	2.00	1.95	2.00
78.00	1.99	1.95	1.98	2.00	2.00	1.99	1.95	1.99
79.00	2.00	1.91	2.00	2.00	2.00	2.00	1.90	2.00
80.00	2.00	1.93	1.99	2.00	2.00	2.00	1.93	2.00
81.00	2.00	1.94	1.99	1.99	1.99	1.99	1.93	1.99
82.00	2.00	1.92	1.99	2.00	2.00	2.00	1.91	2.00
83.00	1.99	1.98	1.99	2.00	2.00	2.00	1.95	2.00
84.00	1.99	1.97	2.00	2.00	2.00	2.00	1.92	1.98
85.00	2.00	1.98	1.99	2.00	2.00	2.00	1.90	1.98
86.00	2.00	2.00	1.99	2.00	2.00	1.98	1.92	2.00
87.00	1.99	1.97	2.00	1.99	1.99	2.00	1.95	2.00
88.00	2.00	1.92	1.99	2.00	2.00	2.00	1.94	2.00
89.00	2.00	1.94	2.00	2.00	2.00	1.99	1.95	2.00
90.00	1.99	1.93	2.00	2.00	2.00	2.00	1.94	2.00
91.00	2.00	1.92	2.00	2.00	2.00	2.00	1.93	1.98
92.00	2.00	1.95	1.99	2.00	2.00	2.00	1.92	1.99
93.00	2.00	1.91	2.00	1.99	1.99	1.98	1.95	2.00
94.00	2.00	1.97	2.00	2.00	2.00	2.00	1.91	2.00
95.00	1.98	1.93	1.99	2.00	2.00	2.00	1.99	2.00
96.00	2.01	1.98	1.99	2.00	2.00	2.00	1.92	1.99
97.00	1.99	1.92	1.99	2.00	2.00	2.00	1.92	1.99
98.00	2.00	2.00	2.00	2.00	2.00	1.99	1.92	2.00
99.00	2.00	1.98	2.00	1.99	2.00	2.00	1.95	2.00
100.00	2.00	1.94	1.99	2.00	1.99	2.00	1.97	2.00
101.00	2.00	1.99	1.99	2.00	2.00	2.00	1.98	2.00
102.00	1.99	1.90	2.00	2.00	2.00	2.00	1.95	2.00
103.00	1.99	1.95	1.98	2.00	2.00	2.00	1.90	1.99
104.00	1.99	1.94	1.99	2.00	2.00	2.00	1.91	2.00
105.00	1.99	1.91	2.00	2.00	2.00	1.98	1.88	2.00
106.00	2.00	1.98	2.00	1.99	1.99	2.00	1.94	2.00
107.00	1.99	1.93	1.99	2.00	2.00	2.00	1.94	2.00
108.00	2.00	1.95	1.99	2.00	2.00	1.99	1.94	1.99
109.00	1.99	1.95	2.00	2.00	2.00	2.00	1.95	2.00
110.00	2.00	1.99	1.98	2.00	2.00	1.98	1.93	1.98
111.00	2.00	1.98	1.98	2.00	2.00	1.99	1.93	2.00
112.00	2.00	1.95	2.00	1.99	1.99	1.99	1.94	2.00
113.00	1.98	1.93	1.99	2.00	2.00	2.00	1.93	2.00
114.00	2.00	1.93	2.00	2.00	2.00	2.00	1.95	1.99
115.00	1.99	1.94	1.98	2.00	2.00	2.00	1.91	2.00
116.00	1.99	1.97	2.00	2.00	2.00	1.99	1.93	1.99
117.00	1.99	1.98	2.00	2.00	2.00	1.99	1.95	2.00
118.00	1.99	1.97	1.98	1.99	1.99	1.99	1.93	2.00
119.00	1.98	1.90	1.99	2.00	2.00	2.00	1.95	1.99
120.00	1.99	1.97	2.00	2.00	2.00	2.00	1.91	1.99
121.00	1.99	1.92	2.00	2.00	2.00	2.00	1.92	2.00
122.00	2.00	1.99	1.99	2.00	2.00	1.99	1.95	1.98
123.00	2.00	1.97	2.00	2.00	2.00	2.00	1.97	2.00
124.00	2.00	1.93	2.00	1.99	1.99	2.00	1.93	1.99
125.00	1.99	1.95	1.98	2.00	2.00	2.00	1.91	2.00
126.00	2.00	1.95	2.00	2.00	2.00	2.00	1.91	2.00
127.00	1.99	1.98	1.99	2.00	2.00	1.99	1.91	1.99
128.00	1.99	1.99	1.97	2.00	2.00	2.01	1.95	2.00
129.00	2.00	1.97	1.98	2.00	2.00	1.99	1.93	2.00
130.00	1.99	1.97	2.00	1.99	1.99	2.00	1.93	2.00
131.00	2.00	1.95	2.00	2.00	2.00	1.99	1.91	2.00
132.00	1.99	1.98	2.00	2.00	2.00	1.99	1.93	2.00
133.00	1.99	1.94	1.99	2.00	2.00	1.99	1.97	2.00
134.00	2.00	1.97	1.99	2.00	2.00	2.00	1.91	1.99
135.00	2.00	1.94	1.99	2.00	2.00	2.00	1.93	2.00
136.00	2.00	1.93	1.99	1.99	1.99	1.99	1.94	2.00
137.00	1.98	1.97	1.98	2.00	2.00	2.00	1.94	2.00
138.00	2.00	2.00	1.99	2.00	2.00	2.00	1.98	2.00
139.00	2.00	1.95	1.99	2.00	2.00	2.00	1.92	2.00
140.00	1.99	1.97	1.97	2.00	2.00	2.00	1.93	1.98
141.00	2.00	1.97	2.00	2.00	2.00	2.00	1.95	2.00
142.00	2.00	1.97	2.00	1.99	2.00	1.99	1.95	1.99
143.00	1.99	1.98	1.99	2.00	1.99	2.00	1.93	2.00
144.00	2.00	1.98	1.99	2.00	2.00	2.00	1.95	2.00
145.00	2.00	1.99	1.95	2.00	2.00	2.00	1.98	1.99
146.00	1.98	1.93	1.99	2.00	2.00	1.99	1.90	2.00
147.00	1.99	1.97	2.00	2.00	2.00	2.01	1.97	2.00
148.00	2.00	1.94	1.94	2.00	2.00	1.99	1.91	2.00
149.00	1.99	1.93	1.99	1.99	1.99	2.00	1.97	2.00
150.00	2.00	1.93	2.00	2.00	2.00	2.00	1.93	2.00
151.00	1.98	1.95	2.00	2.00	2.00	1.99	1.91	2.00
152.00	2.00	1.99	1.99	2.00	2.00	2.00	1.95	1.99
153.00	1.99	1.94	1.98	2.00	2.00	1.99	1.88	1.99
154.00	2.00	1.97	2.00	2.00	2.00	1.98	1.95	2.00
155.00	2.00	1.98	2.00	1.99	1.99	1.99	1.91	2.00
156.00	1.99	1.94	2.00	2.00	2.00	2.00	1.90	1.99
157.00	2.00	1.97	1.99	2.00	2.00	2.00	1.94	2.00
158.00	1.98	1.92	1.99	2.00	2.00	1.99	1.94	2.00
159.00	1.99	1.93	2.00	2.00	2.00	1.99	1.92	1.99
160.00	1.99	1.97	1.99	2.00	2.00	2.00	1.93	2.00
161.00	1.99	1.98	2.00	1.99	1.99	2.00	1.94	2.00
162.00	1.99	1.94	1.99	2.00	2.00	2.00	1.98	2.00
163.00	1.99	1.94	1.99	2.00	2.00	2.00	1.94	1.99
164.00	1.99	1.94	1.99	2.00	2.00	2.00	1.97	1.99
165.00	2.00	1.97	1.98	2.00	2.00	2.00	1.94	2.00
166.00	2.00	1.97	2.00	2.00	2.00	1.99	1.92	2.00
167.00	1.99	1.98	2.00	1.99	1.99	2.00	1.95	2.00
168.00	2.00	1.95	1.97	2.00	2.00	1.99	1.90	1.98
169.00	2.00	1.95	2.00	2.00	2.00	2.00	1.95	2.00
170.00	1.98	1.94	1.99	2.00	2.00	2.00	1.91	2.00
171.00	1.99	1.95	2.00	2.00	2.00	1.99	1.94	1.99
172.00	2.00	1.93	1.97	2.00	2.00	1.98	1.94	2.00
173.00	2.00	1.97	1.97	1.99	1.99	2.00	1.93	2.00
174.00	2.00	1.97	1.99	2.00	2.00	1.99	1.99	2.00
175.00	2.00	1.97	2.00	2.00	2.00	2.00	1.95	1.99
176.00	1.97	1.91	1.98	2.00	2.00	2.00	1.92	2.00
177.00	2.00	1.98	2.00	2.00	2.00	2.00	1.93	1.99
178.00	2.00	1.97	1.99	2.00	2.00	1.99	1.95	2.00
179.00	1.99	1.98	2.00	1.99	1.99	1.98	1.92	1.98
10.1.1.1	1.94	7109.65
10.1.1.2	1.93	10209.14
10.1.1.3	2.01	8893.06
10.1.1.4	2.03	2767.45
10.2.1.2	2.04	7.81
10.1.1.6	2.02	1257.47
10.1.1.7	1.96	2142.27
10.1.1.8	2.02	2605.06
