Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.648s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.97	1.99	1.97
3.00	1.99	2.00	2.00
4.00	2.00	2.00	1.99
5.00	2.00	2.00	2.00
6.00	2.00	2.00	2.00
7.00	2.00	2.00	2.00
8.00	2.00	1.99	2.00
9.00	1.99	2.00	2.00
10.00	2.00	2.00	2.00
11.00	2.00	2.00	1.99
12.00	2.00	2.00	2.00
13.00	2.00	2.00	2.00
14.00	2.00	1.99	2.00
15.00	1.99	2.00	2.00
16.00	2.00	2.00	2.00
17.00	2.00	2.00	1.99
18.00	2.00	2.00	2.00
19.00	2.00	2.00	2.00
20.00	2.00	1.99	2.00
21.00	1.99	2.00	1.99
22.00	2.00	2.00	2.01
23.00	2.00	2.00	2.00
24.00	2.00	2.00	1.99
25.00	2.00	2.00	2.00
26.00	2.00	1.99	2.00
27.00	1.99	2.00	2.00
28.00	2.00	2.00	2.00
29.00	2.00	2.00	1.99
30.00	2.00	2.00	2.00
31.00	2.00	2.00	2.00
32.00	2.00	1.99	2.00
33.00	1.99	2.00	2.00
34.00	2.00	2.00	1.99
35.00	2.00	2.00	2.00
36.00	2.00	2.00	2.00
37.00	2.00	2.00	2.00
38.00	2.00	1.99	2.00
39.00	2.00	2.00	2.00
40.00	1.99	2.00	2.00
41.00	2.00	2.00	2.00
42.00	2.00	2.00	1.99
43.00	2.00	2.00	2.00
44.00	2.00	1.99	2.00
45.00	2.00	2.00	2.00
46.00	1.99	2.00	2.00
47.00	2.00	2.00	2.00
48.00	2.00	2.00	1.99
49.00	2.00	2.00	2.00
50.00	2.00	2.00	2.00
51.00	2.00	1.99	2.00
52.00	1.99	2.00	2.00
53.00	2.00	2.00	2.00
54.00	2.00	2.00	1.99
55.00	2.00	2.00	2.00
56.00	2.00	2.00	2.00
57.00	2.00	1.99	2.00
58.00	1.99	2.00	1.99
59.00	2.00	2.00	2.00
60.00	2.00	2.00	2.00
61.00	2.00	2.00	2.00
62.00	2.00	2.00	2.00
63.00	2.00	1.99	2.00
64.00	1.99	2.00	2.00
65.00	2.00	2.00	2.00
66.00	2.00	2.00	1.99
67.00	2.00	2.00	2.00
68.00	2.00	2.00	2.00
69.00	2.00	1.99	2.00
70.00	2.00	2.00	1.99
71.00	1.99	2.00	2.01
72.00	2.00	2.00	1.99
73.00	2.00	2.00	2.00
74.00	2.00	2.00	2.00
75.00	2.00	1.99	2.00
76.00	1.99	2.00	2.00
77.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00
79.00	2.00	2.00	1.99
80.00	2.00	2.00	2.00
81.00	2.00	1.99	2.00
82.00	2.00	2.00	1.99
83.00	1.99	2.00	2.01
84.00	2.00	2.00	2.00
85.00	2.00	2.00	1.99
86.00	2.00	2.00	2.00
87.00	2.00	1.99	2.00
88.00	2.00	2.00	2.00
89.00	1.99	2.00	2.00
90.00	2.00	2.00	1.99
91.00	2.00	2.00	2.00
92.00	2.00	2.00	2.00
93.00	2.00	1.99	2.00
94.00	2.00	2.00	2.00
95.00	1.99	2.00	2.00
96.00	2.00	2.00	2.00
97.00	2.00	2.00	1.99
98.00	2.00	2.00	2.00
99.00	2.00	2.00	2.00
100.00	2.00	1.99	2.00
101.00	1.99	2.00	2.00
102.00	2.00	2.00	2.00
103.00	2.00	2.00	1.99
104.00	2.00	2.00	2.00
105.00	2.00	2.00	2.00
106.00	2.00	1.99	2.00
107.00	1.99	2.00	2.00
108.00	2.00	2.00	2.00
109.00	2.00	2.00	1.99
110.00	2.00	2.00	2.00
111.00	2.00	2.00	2.00
112.00	2.00	1.99	2.00
113.00	1.99	2.00	2.00
114.00	2.00	2.00	2.00
115.00	2.00	2.00	1.99
116.00	2.00	2.00	2.00
117.00	2.00	2.00	2.00
118.00	2.00	1.99	2.00
