Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.677s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	40.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	40.06	0.00	1.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	40.05	0.00	9.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	40.06	0.00	11.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	40.05	0.00	12.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	40.06	0.00	12.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	40.06	0.00	12.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	40.05	0.00	13.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	40.06	0.00	11.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	40.05	0.00	11.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	40.06	0.00	8.27	4.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	40.05	0.00	6.35	7.04	0.00	0.01	0.00	0.00	0.00	0.00	0.00
14.00	40.05	0.00	6.62	7.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	40.06	0.00	6.41	7.22	0.00	0.01	0.00	0.00	0.00	0.00	0.00
16.00	40.05	0.00	4.52	4.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	40.06	0.00	6.64	7.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	40.05	0.00	6.73	7.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	40.06	0.00	6.52	6.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	40.06	0.00	3.50	3.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	40.05	0.00	1.90	10.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	40.06	0.00	7.14	6.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	40.05	0.00	6.29	6.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	40.06	0.00	5.51	6.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	40.06	0.00	0.00	9.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	40.05	0.00	0.00	13.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	40.06	0.00	0.00	13.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	40.05	0.00	0.00	13.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	40.06	0.00	0.00	13.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	40.06	0.00	0.00	13.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	40.05	0.00	0.00	12.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	40.06	0.00	0.00	12.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	40.05	0.00	0.00	13.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	40.06	0.00	0.00	13.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	40.05	0.00	0.00	13.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	40.06	0.00	0.00	12.32	0.00	0.43	0.00	0.00	0.00	0.00	0.00
37.00	40.06	0.00	0.00	7.42	0.00	2.83	0.00	0.00	0.00	0.00	0.00
38.00	40.05	0.00	0.00	3.41	0.00	0.02	0.00	0.00	0.00	0.00	0.00
39.00	40.06	0.00	0.00	6.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00
