Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.389s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	1.79	1.98	0.00	0.00	0.45
3.00	0.00	1.57	0.00	1.06	2.00	1.27	1.57	1.25
4.00	0.00	2.00	0.00	2.00	2.00	0.65	0.65	0.79
5.00	0.00	2.00	0.00	1.98	2.00	0.82	0.81	0.79
6.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
7.00	0.00	1.99	0.00	2.00	2.00	0.00	0.00	0.00
8.00	0.00	2.00	0.00	2.00	1.99	0.00	0.00	0.00
9.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
10.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
11.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
12.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
13.00	0.00	1.99	0.00	2.00	2.00	0.00	0.00	0.00
14.00	0.00	2.00	0.00	2.00	1.99	0.00	0.00	0.00
15.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
16.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
17.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
18.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
19.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
20.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
21.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
22.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
23.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
24.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
25.00	0.00	1.97	0.00	1.98	2.00	0.00	0.00	0.00
26.00	0.00	2.03	0.00	2.03	1.99	0.00	0.00	0.00
27.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
28.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
29.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
30.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
31.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
32.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
33.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
34.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
35.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
36.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
37.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
38.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
39.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
40.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
41.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
42.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
43.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
44.00	0.00	1.99	0.00	1.99	1.99	0.00	0.00	0.00
45.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
46.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
47.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
48.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
49.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
50.00	0.00	1.99	0.00	1.99	2.00	0.00	0.00	0.00
51.00	0.00	2.00	0.00	2.00	1.99	0.00	0.00	0.00
52.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
53.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
54.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
55.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
56.00	0.00	1.99	0.00	2.00	2.00	0.00	0.00	0.00
57.00	0.00	2.00	0.00	2.00	1.99	0.00	0.00	0.00
58.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
59.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
60.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
61.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
62.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
63.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
64.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
65.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
66.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
67.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
68.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
69.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
70.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
71.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
72.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
73.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
74.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
75.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
76.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
77.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
78.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
79.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
80.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
81.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
82.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
83.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
84.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
85.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
86.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
87.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
88.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
89.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
90.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
91.00	0.00	2.00	0.00	1.99	2.00	0.00	0.00	0.00
92.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
93.00	0.00	1.99	0.00	2.00	1.99	0.00	0.00	0.00
94.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
95.00	0.00	2.00	0.00	2.00	2.00	0.00	0.00	0.00
