Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.321s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
2.00	0.00	0.00	0.00	1.47	1.99	1.88	0.00	1.88	0.65
3.00	0.00	0.00	0.00	2.00	2.00	2.00	0.15	2.00	1.95
4.00	1.95	1.95	1.90	1.98	2.00	1.99	2.00	1.99	1.97
5.00	1.98	2.00	2.00	2.00	2.00	1.98	1.99	1.99	1.93
6.00	2.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00	2.00
7.00	2.00	1.99	2.00	2.00	2.00	1.98	2.00	2.00	2.00
8.00	2.00	2.00	1.99	2.00	1.99	2.00	1.99	2.00	2.00
9.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00	2.00	2.00
10.00	2.00	2.00	2.00	2.01	2.00	1.98	1.99	2.00	1.99
11.00	1.99	2.00	1.99	1.99	2.00	1.99	2.00	2.00	2.00
12.00	2.00	2.00	2.00	2.00	2.00	1.97	1.99	1.99	2.00
13.00	2.00	1.99	2.00	2.00	2.00	1.98	2.00	2.00	2.00
14.00	1.99	2.00	1.99	2.00	1.99	2.00	1.99	2.00	2.00
15.00	2.00	2.00	2.00	2.00	2.00	1.98	2.00	2.00	2.00
16.00	2.00	2.00	2.00	2.00	2.00	1.94	2.00	2.00	1.99
17.00	1.92	2.00	1.99	2.00	2.00	2.00	1.99	1.99	2.00
18.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00
19.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
20.00	1.99	1.99	1.99	2.00	1.99	1.99	2.00	2.00	2.00
21.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
22.00	2.00	2.00	1.99	2.00	2.00	1.98	2.00	1.99	2.00
23.00	1.99	2.00	2.00	2.00	2.00	1.99	2.00	2.00	1.99
24.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00
25.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00
26.00	2.00	1.99	2.00	2.00	1.99	2.00	1.99	2.00	2.00
27.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
28.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
