Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.076s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	6.59	0.00	0.00	0.00	0.00	0.58	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.02	0.00
3.00	6.59	0.00	0.00	0.00	0.00	0.98	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00
4.00	6.61	0.00	0.00	0.00	0.00	1.17	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.49	0.98	0.00	0.00	0.00
6.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00
8.00	6.61	0.00	0.00	0.00	0.00	2.41	0.00	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	6.59	0.00	0.79	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
10.00	6.61	0.00	0.40	0.00	0.00	0.12	0.00	0.00	0.77	0.00	0.00	0.00	0.00	0.00	0.65	0.02	0.00	0.00	1.33	1.46	0.00	0.00	0.00
11.00	6.59	0.00	0.31	0.00	0.00	0.22	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00
12.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00
13.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.00
15.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00
16.00	6.59	0.00	0.13	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.00
17.00	6.61	0.00	0.00	0.00	0.00	0.46	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	6.59	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	6.61	0.00	0.07	0.00	0.00	2.07	0.00	0.00	1.38	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.00
20.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
21.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.01	0.99	0.00	0.15	0.00
22.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00
24.00	6.59	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	2.83	0.00	0.00	0.00
25.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.53	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	1.84	0.00	0.00	0.00
26.00	6.59	0.00	0.00	0.00	0.00	0.82	0.00	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.28	0.16	0.00	0.00	0.00	1.70	0.00	0.62	0.00
27.00	6.61	0.00	0.08	0.00	0.00	0.45	0.00	0.06	2.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.41	0.00	1.15	0.00
28.00	6.59	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00
29.00	6.59	0.00	0.00	0.00	0.13	2.83	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00
30.00	6.61	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	1.57	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00
31.00	6.59	0.00	0.00	0.00	0.62	0.27	0.00	0.02	0.16	0.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.02	0.00	0.00	0.37	0.00
32.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.30	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.66	0.00	0.00	0.75	0.00
33.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.78	0.00	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
34.00	6.61	0.00	0.18	0.00	0.00	0.35	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.32	0.00	0.55	0.00
35.00	6.59	0.00	0.07	0.00	0.00	1.27	0.00	0.16	0.14	0.00	0.00	0.00	0.00	0.00	1.20	0.13	0.00	0.00	0.00	1.24	0.00	0.99	0.00
36.00	6.61	0.00	0.00	0.00	0.01	0.05	0.00	0.00	2.94	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.37	0.00	0.00	0.13	0.00
37.00	6.59	0.00	0.74	0.00	0.00	1.64	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.68	0.14	0.00	0.00	0.00	1.10	0.00	0.02	0.00
38.00	6.61	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.62	0.72	0.00	0.00	0.00
39.00	6.59	0.00	0.00	0.00	0.00	0.39	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
40.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00	1.33	0.00	0.00	0.00	0.00	1.57	0.00	0.05	0.00
41.00	6.59	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.32	0.00	0.00	0.00	1.88	0.00	0.01	0.00
42.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.99	0.00	0.00	0.32	0.00
43.00	6.61	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	3.21	0.00
44.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.85	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
45.00	6.61	0.00	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
46.00	6.59	0.00	0.00	0.00	0.00	1.15	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.00
47.00	6.61	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	1.44	0.67	0.00	0.00	0.00	0.88	0.00	0.00	0.00
48.00	6.59	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
49.00	6.61	0.00	0.00	0.00	0.02	0.00	0.00	0.00	2.38	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00
50.00	6.59	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.88	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.99	2.01	0.00	0.00	0.00
51.00	6.61	0.00	0.00	0.00	0.00	1.70	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.18	0.01	1.14	0.00	1.17	0.48	0.00	0.00	0.00
52.00	6.59	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
53.00	6.61	0.00	0.00	0.00	0.00	2.59	0.00	0.31	0.32	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
54.00	6.59	0.00	0.00	0.00	0.04	0.31	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.06
55.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.60	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.49	0.99	0.00	0.00	0.00
56.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.88	1.45	0.00	0.00	0.00
57.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.38	0.00	0.00	0.00	0.00	0.00	2.47	0.00	0.00	0.00	0.00	1.41	0.00	0.51	0.00
58.00	6.61	0.00	0.00	0.00	0.00	0.51	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.91	0.00	0.41	0.00	0.00	0.15	0.00
59.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.19	3.16	0.00	0.00	0.00
60.00	6.61	0.00	0.00	0.00	0.00	0.53	0.00	0.00	2.16	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00
61.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00
62.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
63.00	6.59	0.00	0.54	0.00	0.00	0.02	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00
64.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
65.00	6.59	0.00	0.00	0.00	0.00	0.49	0.00	0.00	2.43	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	1.98	0.00	0.07	0.00
66.00	6.61	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	2.17	1.78	0.00	0.08	0.00
67.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.00	0.11	0.00	0.00	0.49	0.00
68.00	6.59	0.00	0.18	0.00	0.37	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.09	1.17	0.00	0.81	0.00
69.00	6.61	0.00	0.00	0.00	0.00	0.14	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
70.00	6.59	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
71.00	6.61	0.00	0.54	0.00	0.00	0.88	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.09	1.41	0.00	0.00	0.00
72.00	6.59	0.00	0.14	0.00	0.00	0.42	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	1.74	0.00	0.19	0.00
73.00	6.61	0.00	0.05	0.00	0.05	0.49	0.00	0.00	1.06	0.00	0.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00	0.00	0.66	0.00	1.86	0.00
74.00	6.59	0.00	0.11	0.00	0.00	1.32	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00	2.11	0.00	0.00	0.00	0.00	1.52	0.00	0.00	0.00
75.00	6.61	0.00	0.75	0.00	0.00	0.05	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00
76.00	6.59	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	1.61	0.34	0.00	0.00	0.01	1.71	0.00	0.00	0.00
77.00	6.61	0.00	0.00	0.00	0.00	1.78	0.00	0.00	0.86	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.49	0.00	0.00	0.49	0.00
78.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
79.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.79	0.77	0.00	0.00	0.00
80.00	6.59	0.00	1.20	0.00	0.00	2.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.00	0.00	2.61	0.00	0.22	0.00
81.00	6.59	0.00	0.00	0.00	0.00	1.28	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00	1.81	0.00	0.00	0.00	0.29	1.53	0.00	1.38	0.14
82.00	6.61	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.47	1.24	0.00	0.04	0.00
83.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.53	0.00	0.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00	0.00	1.75	0.00	0.00	0.00
84.00	6.61	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00
85.00	6.59	0.00	0.26	0.00	0.00	0.24	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00
86.00	6.61	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.99	0.00	1.37	0.49	0.00	0.35	0.00
87.00	6.59	0.00	1.04	0.00	0.00	0.73	0.00	0.07	0.15	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.93	1.77	0.00	0.05	0.00
88.00	6.61	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.09	0.18	0.00	0.00	0.00
89.00	6.59	0.00	0.51	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.40	0.00	0.00	0.00	0.27	1.98	0.00	0.00	0.00
90.00	6.61	0.00	0.00	0.00	0.99	1.64	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	3.44	0.00	1.58	0.00	1.33	1.83	0.00	0.59	0.00
91.00	6.59	0.00	0.93	0.00	0.80	0.79	0.00	0.00	3.34	0.00	0.00	0.00	0.00	0.00	1.22	0.48	0.51	0.00	1.86	0.44	0.00	1.37	0.00
92.00	6.61	0.00	0.00	0.00	0.00	0.62	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	2.21	0.00	0.61	0.00	2.77	1.05	0.00	1.12	0.00
93.00	6.59	0.00	0.00	0.00	0.00	0.68	0.00	0.00	3.36	0.00	0.00	0.00	0.00	0.00	2.68	0.00	0.49	0.00	0.32	0.00	0.00	0.53	0.00
94.00	6.59	0.00	0.00	0.00	0.00	0.32	0.00	0.18	0.42	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	2.39	0.00	0.00	0.37	0.00
95.00	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
96.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
97.00	6.61	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00
98.00	6.59	0.00	0.92	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00
99.00	6.61	0.00	0.00	0.00	0.00	0.29	0.00	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	2.18	0.00	0.67	0.00
100.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	2.07	0.00	0.00	0.00	0.00	0.34	0.00	0.61	0.00
101.00	6.61	0.00	0.00	0.00	0.00	1.34	0.00	0.00	2.39	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	1.07	2.20	0.00	0.72	0.02
102.00	6.59	0.00	0.22	0.00	0.01	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.85	0.27	0.00	0.00	0.00
103.00	6.61	0.00	0.01	0.00	1.04	1.53	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	3.25	0.51	0.00	0.00	0.49	2.12	0.00	1.55	0.00
104.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	1.54	0.99	0.00	0.00	0.00	0.65	0.00	0.99	0.00
105.00	6.61	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	3.86	0.00	0.00	0.00	0.00	0.89	0.00	2.60	0.00
106.00	6.59	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.99	0.00	0.72	0.00
107.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108.00	6.61	0.00	0.00	0.00	0.00	1.92	0.00	0.46	0.93	0.00	0.00	0.00	0.02	0.00	2.00	0.49	0.00	0.00	0.00	1.72	0.00	0.00	0.02
109.00	6.59	0.00	0.00	0.00	0.00	1.22	0.00	0.14	3.01	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00
110.00	6.61	0.00	0.00	0.00	0.28	0.59	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.49	1.65	0.00	0.27	0.00
111.00	6.59	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.00	1.65	0.00	0.19	0.00
112.00	6.61	0.00	0.00	0.21	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00	0.00	1.05	0.00	0.00	0.00
113.00	6.59	0.00	0.33	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	1.61	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.45
114.00	6.61	0.00	0.00	0.00	0.02	1.24	0.00	0.11	2.14	0.00	0.00	0.00	0.05	0.00	1.60	0.00	0.00	0.00	0.25	0.00	0.00	0.09	0.02
115.00	6.59	0.00	0.00	0.20	0.00	0.60	0.00	0.00	1.38	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.49	1.58	0.00	1.30	0.00
116.00	6.61	0.00	0.00	0.00	0.00	0.71	0.00	0.07	2.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00
117.00	6.59	0.00	0.00	0.00	0.00	0.45	0.00	0.01	0.62	0.00	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00
118.00	6.61	0.00	0.00	0.00	0.00	2.00	0.00	0.24	2.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.77	0.00	0.00	0.00
119.00	6.59	0.00	0.00	0.00	0.00	2.19	0.00	0.02	0.71	0.00	0.00	0.00	0.00	0.00	2.27	0.00	0.00	0.00	0.00	1.19	0.00	0.00	0.00
10.2.1.2	6.73	8.15
10.1.1.2	0	0
10.1.1.3	0.12	994922.66
10.1.1.4	0.17	1544643.74
10.1.1.5	0.07	567961.95
10.1.1.6	0.57	481996.78
10.1.1.7	0	0
10.1.1.8	0.03	839081.77
10.1.1.9	1.04	295280.02
10.1.1.10	0	0
10.1.1.11	0	0
10.1.1.12	0	0
10.1.1.13	0.02	5312967.60
10.1.1.14	0	0
10.1.1.15	1.31	448884.97
10.1.1.16	0.04	1342409.42
10.1.1.17	0.15	733648.19
10.1.1.18	0	0
10.1.1.19	0.29	452684.97
10.1.1.20	0.80	390070.33
10.1.1.21	0	0
10.1.1.22	0.28	455339.08
