Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.789s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	7.47	7.20	6.85	0.00	0.00	0.13	0.00	0.28	0.07	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.02	0.00	0.00	0.97	0.00
3.00	7.50	7.20	6.90	0.00	0.00	0.11	0.00	0.24	0.00	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.84
4.00	7.50	7.21	6.90	0.00	0.00	0.12	0.00	0.65	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	7.50	7.20	6.90	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.24	0.00	0.00
6.00	7.50	7.21	6.90	0.00	0.08	0.16	0.00	0.31	0.38	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00
7.00	7.50	7.20	6.90	0.00	0.31	0.01	0.00	0.57	0.41	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.19	0.00
8.00	7.50	7.20	6.90	0.00	0.16	0.00	0.00	0.00	0.19	0.00	1.07	0.00	0.00	0.13	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00
9.00	7.50	7.21	6.90	0.00	0.26	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	7.49	7.20	6.90	0.00	0.38	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00
11.00	7.50	7.21	6.90	0.00	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
