Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.052s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	7.20	6.59	6.25	0.00	0.00	0.59	0.00	0.53	1.27	0.06	0.04	1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.01	0.00
3.00	7.20	6.59	6.30	0.00	0.00	1.86	0.00	0.25	0.27	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.49	0.00
4.00	7.21	6.61	6.30	0.00	0.00	1.30	0.00	0.11	0.49	0.00	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.52	0.00
5.00	7.20	6.59	6.30	0.00	0.00	1.65	0.00	0.14	0.00	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.40	0.00
6.00	7.21	6.61	6.30	0.00	0.00	0.80	0.00	0.00	0.00	1.06	0.25	0.00	0.00	0.00	0.00	0.78	0.00	0.00	0.04	0.00	0.00	0.61	0.00
7.00	7.20	6.59	6.30	0.00	0.00	1.79	0.00	0.00	0.04	0.99	0.00	0.00	0.00	1.74	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.40	0.00
8.00	7.20	6.61	6.30	0.00	0.00	2.32	0.00	0.00	0.29	0.00	0.00	0.99	0.00	0.09	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.54	0.00
9.00	7.21	6.59	6.30	0.00	0.00	0.00	0.00	0.00	0.29	0.14	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.65	0.00
10.00	7.20	6.61	6.30	0.00	0.00	0.00	0.00	0.07	2.08	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.00
11.00	7.21	6.59	6.30	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.66	0.00	0.00	0.07	0.00	0.00	0.73	0.00
12.00	7.20	6.61	6.30	0.00	0.00	0.55	0.00	0.33	0.00	0.00	0.00	0.49	0.00	0.61	0.00	0.44	0.00	0.00	0.02	0.00	0.00	0.61	0.00
13.00	7.20	6.59	6.30	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00
14.00	7.21	6.61	6.30	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	1.64	0.00	1.20	0.00	0.12	0.00	0.00	0.12	0.00	0.00	0.78	0.00
15.00	7.20	6.59	6.30	0.00	0.00	0.75	0.00	0.00	0.99	0.09	0.60	0.49	0.00	1.41	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.71	0.00
16.00	7.21	6.59	6.30	0.00	0.00	1.61	0.00	0.00	0.07	0.00	1.86	0.00	0.01	2.26	0.00	0.20	0.00	0.00	0.78	0.00	0.00	1.05	0.00
17.00	7.20	6.61	6.30	0.00	0.00	0.00	0.00	0.15	0.00	0.07	0.00	0.79	0.00	1.48	0.00	2.26	0.00	0.00	0.00	0.00	0.00	0.62	0.00
18.00	7.21	6.59	6.30	0.00	0.00	0.95	0.00	0.55	0.00	0.55	0.00	0.75	0.00	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00
19.00	7.20	6.61	6.30	0.00	0.00	0.73	0.00	0.49	1.38	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.68	0.00	0.00	0.00	0.00	0.77	0.00
20.00	7.20	6.59	6.30	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.49	0.00	0.22	0.00	0.28	0.20	0.00	0.00	0.00	0.00	1.00	0.00
21.00	7.21	6.61	6.30	0.00	0.00	0.00	0.00	0.00	2.85	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00
