Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.293s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	6.89	5.99	5.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	6.90	6.01	5.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.51	0.00	2.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	6.90	5.99	5.39	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	2.86	0.00	0.08	0.00	0.00	0.00	0.00	0.57	0.00	0.00
5.00	6.90	6.01	5.41	1.15	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	6.90	5.99	5.39	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00	0.02	0.00	0.18	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	6.90	6.01	5.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	6.90	5.99	5.39	3.09	0.00	0.00	0.00	0.59	0.00	0.33	0.00	0.00	0.21	0.00	1.42	0.00	0.00	0.00	0.00	0.00	0.00	1.02	0.00	0.00
9.00	6.90	6.01	5.41	2.41	0.00	0.00	0.00	0.22	0.00	0.35	1.00	0.00	0.00	0.00	3.79	0.00	0.00	0.00	0.00	0.00	0.00	2.48	0.00	0.00
10.00	6.90	5.99	5.41	0.00	0.00	0.00	0.00	1.92	0.00	0.00	3.63	0.00	0.86	0.00	3.63	0.00	1.68	0.00	0.49	0.00	0.00	2.34	0.00	0.00
11.00	6.90	6.01	5.39	0.80	0.00	0.00	0.00	0.32	0.00	0.52	3.34	0.00	0.19	0.00	3.74	0.00	0.00	0.00	1.77	0.00	0.00	1.86	0.41	0.00
12.00	6.90	5.99	5.41	0.40	0.00	0.00	0.00	1.13	0.00	0.00	0.61	0.00	0.40	0.00	2.11	0.00	0.00	0.00	0.00	0.00	0.00	2.23	0.00	0.00
13.00	6.90	6.01	5.39	1.14	0.00	0.00	0.00	1.75	0.00	0.64	2.03	0.00	0.14	0.00	0.58	0.00	0.09	0.00	0.00	0.00	0.00	0.49	0.00	0.00
14.00	6.90	5.99	5.41	1.60	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.26	0.00	0.64	0.00	0.31	0.00	0.58	0.00	0.00	0.34	0.00	0.00
15.00	6.90	6.01	5.39	1.22	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.24	0.00	1.00	0.00	0.00	0.01	0.00	0.00	0.00	0.42	0.00	0.00
16.00	6.90	5.99	5.41	0.92	0.00	0.00	0.00	1.83	0.00	2.48	0.00	0.00	3.79	0.00	3.46	0.00	1.40	0.00	1.34	0.00	0.00	2.51	0.00	0.00
17.00	6.89	6.01	5.39	3.54	0.00	0.00	0.00	1.40	0.00	0.00	1.86	0.00	1.22	0.00	3.04	0.00	0.00	0.00	1.80	0.00	0.00	1.45	0.22	0.00
18.00	6.90	5.99	5.41	1.30	0.00	0.00	0.12	0.00	0.33	0.00	2.13	0.00	1.73	0.00	1.68	0.00	2.13	0.00	2.79	0.00	0.00	1.05	2.00	0.00
19.00	6.90	6.01	5.41	1.51	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.49	0.00	2.16	0.00	2.32	0.00	0.00	0.00	0.00	1.33	0.00	0.00
20.00	6.90	5.99	5.39	3.03	0.00	0.00	0.00	2.03	0.00	0.04	0.00	0.00	1.81	0.00	0.61	0.00	0.00	0.00	0.49	0.00	0.00	0.85	0.00	0.00
21.00	6.90	6.01	5.41	1.31	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	3.60	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	2.65	0.00	0.00
22.00	6.90	5.99	5.39	1.60	0.00	0.00	0.00	0.54	0.00	1.51	0.00	0.00	2.79	0.00	1.21	0.00	0.00	0.00	1.33	0.00	0.00	1.50	0.00	0.00
23.00	6.90	6.01	5.41	0.49	0.00	0.00	0.00	1.40	0.00	0.00	0.00	0.00	3.10	0.00	1.02	0.00	0.99	0.00	0.39	0.00	0.00	1.37	0.00	0.00
24.00	6.90	5.99	5.39	1.32	0.00	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	2.91	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00
25.00	6.90	6.01	5.41	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	1.59	0.00	2.63	0.00	0.00	0.00	0.01	0.00	0.00	0.64	0.00	0.00
26.00	6.90	5.99	5.39	1.97	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	3.31	0.00	2.37	0.00	0.00	0.00	1.42	0.00	0.00	2.06	0.00	0.00
27.00	6.90	6.01	5.41	1.30	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.78	0.00	0.00	0.00	0.25	0.00	1.40	0.00	0.00	2.53	0.00	0.00
28.00	6.90	5.99	5.41	1.79	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	1.44	0.00	2.00	0.00	0.00	0.00	1.42	0.00	0.00	0.81	0.00	0.00
29.00	6.90	6.01	5.39	3.47	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	1.48	0.00	1.35	0.00	0.91	0.00	0.00	0.00	0.00	1.25	0.00	0.00
30.00	6.90	5.99	5.41	2.51	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	3.09	0.00	0.35	0.00	0.58	0.00	1.67	0.00	0.00	1.65	0.00	0.00
31.00	6.90	6.01	5.39	2.10	0.00	0.00	0.00	2.27	0.00	0.32	0.00	0.00	0.00	0.00	2.54	0.00	0.00	0.00	0.49	0.00	0.00	1.37	0.00	0.00
32.00	6.90	5.99	5.41	1.57	0.00	0.00	0.00	2.13	0.00	0.02	0.00	0.00	2.38	0.00	3.58	0.00	1.60	0.00	0.35	0.00	0.00	2.59	0.00	0.00
33.00	6.90	6.01	5.39	1.41	0.00	0.00	0.00	0.24	0.00	1.58	0.00	0.00	0.99	0.00	2.08	0.00	0.64	0.00	0.00	0.00	0.00	0.99	0.00	0.00
34.00	6.89	5.99	5.41	3.06	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	1.02	0.00	0.57	0.00	1.39	0.00	0.00	1.54	0.00	0.00
35.00	6.90	6.01	5.41	2.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	1.45	0.00	0.00	0.00	0.49	0.00	0.00	2.84	0.00	0.00
36.00	6.90	5.99	5.39	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	2.48	0.00	0.00	0.00	1.71	0.00	0.00	1.53	0.00	0.00
37.00	6.90	6.01	5.41	1.37	0.00	0.00	0.00	1.81	0.00	0.00	0.25	0.00	1.07	0.00	2.38	0.00	0.40	0.00	0.00	0.00	0.00	1.59	0.00	0.00
38.00	6.90	5.99	5.39	2.94	0.00	0.00	0.00	0.32	0.00	0.00	1.71	0.00	1.84	0.00	3.36	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00
39.00	6.90	6.01	5.41	2.98	0.05	0.00	0.00	0.75	0.00	1.41	0.93	0.00	2.96	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00
40.00	6.90	5.99	5.39	3.27	0.00	0.00	0.00	0.41	0.00	0.64	0.62	0.00	1.57	0.00	3.12	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00
41.00	6.90	6.01	5.41	4.29	0.00	0.00	0.00	0.00	0.00	0.28	1.20	0.00	2.68	0.00	3.70	0.00	1.60	0.02	0.00	0.00	0.00	0.00	0.01	0.00
42.00	6.90	5.99	5.39	0.99	0.00	0.00	0.00	0.00	0.00	1.80	1.72	0.00	2.01	0.00	2.25	0.00	0.82	0.00	0.67	0.00	0.00	0.54	0.49	0.00
43.00	6.90	6.01	5.41	2.20	0.00	0.00	0.00	2.66	0.00	0.00	0.00	0.00	2.06	0.00	1.79	0.00	0.35	0.00	1.50	0.00	0.00	2.20	0.00	0.00
44.00	6.90	5.99	5.41	2.40	0.01	0.00	0.00	0.31	0.00	0.62	0.61	0.00	1.55	0.00	1.38	0.00	0.16	0.00	0.00	0.00	0.00	1.97	0.00	0.00
45.00	6.90	6.01	5.39	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	1.12	0.00	2.56	0.00	3.18	0.00	0.00	0.78	0.00	0.00
46.00	6.90	5.99	5.41	3.29	0.00	0.00	0.00	0.00	0.05	1.92	0.47	0.00	0.99	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.09	0.00
47.00	6.90	6.01	5.39	1.63	0.00	0.00	0.00	0.00	0.00	0.31	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.49	0.00
48.00	6.90	6.01	5.41	0.49	0.00	0.00	0.00	0.92	0.00	0.02	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.14	0.00	0.00
49.00	6.90	5.99	5.39	3.60	0.00	0.00	0.00	1.75	0.00	0.00	0.00	0.00	2.26	0.00	2.78	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00
50.00	6.89	6.01	5.41	1.50	0.00	0.00	0.00	0.25	0.00	0.00	0.97	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	2.16	0.00	0.00
51.00	6.90	5.99	5.39	1.11	0.00	0.00	0.00	4.22	0.00	0.33	0.71	0.00	0.94	0.00	2.33	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.06	0.00
52.00	6.90	6.01	5.41	1.11	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.99	0.00	2.63	0.00	0.00	0.00	1.90	0.00	0.00	0.38	0.00	0.00
53.00	6.90	5.99	5.41	3.23	0.00	0.00	0.00	2.74	0.07	0.00	0.86	0.00	1.94	0.00	3.11	0.00	0.00	0.00	1.51	0.00	0.00	2.06	0.06	0.00
54.00	6.90	6.01	5.39	0.49	0.00	0.00	0.00	0.00	0.00	2.54	0.00	0.00	0.00	0.00	2.12	0.00	0.00	0.00	1.00	0.00	0.00	0.71	0.00	0.00
55.00	6.90	5.99	5.41	3.66	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.66	0.00	2.99	0.00	0.00	0.00	0.00	0.00	0.00	2.48	0.00	0.00
56.00	6.90	6.01	5.39	0.31	0.00	0.00	0.00	2.27	0.00	0.31	0.00	0.00	3.16	0.00	3.19	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00
57.00	6.90	5.99	5.41	1.38	0.00	0.00	0.00	1.72	0.00	1.30	0.00	0.00	1.65	0.00	3.42	0.00	0.00	0.00	0.69	0.00	0.00	2.07	0.00	0.00
58.00	6.90	6.01	5.39	1.60	0.00	0.00	0.00	0.92	0.00	0.38	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00
59.00	6.90	5.99	5.41	3.49	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	1.27	0.00	3.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
60.00	6.90	6.01	5.41	1.81	0.00	0.00	0.00	2.05	0.00	0.31	1.52	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.04	0.00
61.00	6.90	5.99	5.39	4.86	0.00	0.00	0.00	2.03	0.00	0.00	1.30	0.00	2.96	0.00	1.63	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.38	0.00
62.00	6.90	6.01	5.41	1.72	0.00	0.00	0.00	2.56	0.00	0.31	1.14	0.00	0.20	0.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00	2.23	0.00	0.00
63.00	6.90	5.99	5.39	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
64.00	6.90	6.01	5.41	2.50	0.00	0.00	0.00	1.41	0.00	0.49	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.97	0.00	0.00
65.00	6.90	5.99	5.39	3.38	0.00	0.00	0.00	1.22	0.00	0.00	2.84	0.00	3.53	0.00	2.31	0.00	0.00	0.00	0.00	0.00	0.00	2.65	0.00	0.00
66.00	6.89	6.01	5.41	2.34	0.00	0.00	0.00	2.20	0.00	0.00	1.10	0.00	2.43	0.00	3.07	0.00	0.00	0.00	0.00	0.00	0.00	2.71	0.00	0.00
67.00	6.90	5.99	5.39	1.72	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.99	0.00	4.60	0.00	0.00	0.00	0.99	0.00	0.00	1.93	0.00	0.00
68.00	6.90	6.01	5.41	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.38	0.00	0.49	0.00	1.84	0.00	0.00	0.00	1.41	0.00	0.00	1.46	0.00	0.00
69.00	6.90	5.99	5.41	3.06	0.00	0.00	0.00	1.65	0.00	0.66	0.66	0.00	1.99	0.00	2.93	0.00	0.00	0.00	0.28	0.00	0.00	1.30	0.00	0.00
70.00	6.90	6.01	5.39	0.75	0.00	0.00	0.00	2.19	0.00	0.00	2.80	0.00	1.66	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00
71.00	6.90	5.99	5.41	4.44	0.00	0.00	0.00	0.68	0.00	0.64	4.33	0.00	0.00	0.00	2.66	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00
72.00	6.90	6.01	5.39	3.00	0.00	0.00	0.00	0.14	0.00	0.00	1.88	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00
