Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.077s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	9.83	7.45	6.57	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.31	0.00	1.01	0.20	0.00	0.00	0.00
3.00	9.90	7.50	6.59	0.00	0.00	0.02	0.00	0.48	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.79	0.00	0.00	0.00
4.00	9.90	7.50	6.61	0.00	0.00	0.09	0.05	2.52	0.00	0.00	0.00	0.16	0.28	0.00	0.09	0.00	0.00	0.00	1.15	1.15	0.00	0.00	0.12
5.00	9.89	7.50	6.59	1.28	0.00	0.00	0.00	2.64	0.00	0.00	0.00	0.07	1.45	0.38	0.05	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.00
6.00	9.90	7.50	6.61	0.00	0.00	0.18	0.00	1.21	0.05	0.00	0.00	0.54	0.00	0.00	0.05	0.00	0.00	0.00	0.49	0.99	0.00	0.00	0.00
7.00	9.90	7.50	6.59	1.18	0.00	0.00	0.00	1.61	0.00	0.49	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.94	0.49	0.00	0.00
8.00	9.89	7.50	6.61	0.00	0.00	0.00	0.28	0.73	0.19	0.00	0.00	0.00	0.52	0.00	0.22	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00
9.00	9.90	7.50	6.59	1.26	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.15	0.31	0.00	0.00	0.00	0.00	0.07	0.00	0.85	0.00	0.00	0.00
10.00	9.90	7.49	6.61	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.09	0.02	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.49	0.00	0.00
11.00	9.89	7.50	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0.00	0.00	0.16	0.00	0.00	0.00	1.01	0.00	0.00	0.00
12.00	9.90	7.50	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.14	0.00	0.00	0.00	0.00	3.12	1.45	0.00	0.00	0.00
