Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.238s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	8.68	7.44	6.85	0.00	0.09	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48
3.00	8.70	7.50	6.90	0.68	0.00	0.00	0.89	0.13	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.18
4.00	8.70	7.50	6.90	1.30	0.00	0.00	1.33	0.46	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	8.70	7.50	6.90	0.65	0.00	0.28	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48
6.00	8.69	7.50	6.90	1.18	0.07	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	1.26	0.40	0.09	0.21	0.00	0.00
7.00	8.70	7.50	6.90	1.11	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.41
8.00	8.70	7.50	6.90	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00
9.00	8.70	7.50	6.90	0.93	0.00	0.00	0.00	0.20	0.00	0.00	0.49	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00
10.00	8.70	7.49	6.90	0.18	0.00	0.00	0.12	0.14	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.94
11.00	8.69	7.50	6.90	1.20	0.00	0.00	0.99	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00
12.00	8.70	7.50	6.90	4.05	0.00	0.49	1.14	0.09	0.00	0.00	0.00	0.00	3.58	0.00	0.00	0.00	0.00	1.10	0.00	0.35	0.00	0.00	0.09
13.00	8.70	7.50	6.90	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00
14.00	8.70	7.50	6.90	2.37	0.00	0.00	0.00	0.02	0.32	0.01	0.09	0.00	0.00	0.00	0.00	0.00	0.00	1.06	1.31	0.26	0.00	0.00	0.00
15.00	8.70	7.50	6.90	1.54	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.93
16.00	8.69	7.50	6.90	0.37	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00
17.00	8.70	7.50	6.89	0.02	0.08	0.00	0.47	0.05	0.00	0.02	0.06	0.00	0.49	0.00	0.00	0.00	0.00	0.97	0.00	0.14	0.00	0.00	0.01
18.00	8.70	7.50	6.90	1.67	0.20	0.99	0.00	0.05	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.87	0.00	0.00	0.26
19.00	8.70	7.49	6.90	2.23	0.02	0.00	0.00	0.33	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00
20.00	8.70	7.50	6.90	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.31	0.42	0.00	0.00	0.00
21.00	8.69	7.50	6.90	1.55	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00
22.00	8.70	7.50	6.90	0.49	0.04	1.80	0.00	0.00	0.25	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46
